,median,meanci_1,Diff_median_of_plot,Diff_mean_of_row,Type,Y_binary
545,2.620275880000001,3.42001647,-0.040401459,-0.250257795,Control,1.0
608,3.000090029999996,3.355423889999997,-0.420215607,-0.279585871,Control,1.0
631,3.569841000000004,4.152780870000001,-0.789966583,-0.785787821,Control,1.0
209,3.349980159999998,4.042910940000002,0.629894257,0.299990723,Clog,0.0
412,3.975125890000001,4.78193606,-0.695251465,-0.863622545,Clog,0.0
453,2.57995605,3.361447200000001,0.099918365,0.059942619,Control,1.0
176,3.310139469999999,3.881083919999998,0.169734955,0.309268153,Clog,0.0
522,4.330057140000001,5.05567095,-1.150182724,-0.767118793,Control,1.0
329,4.340030290000001,4.973996440000001,-1.060155869,-0.989541213,Clog,0.0
163,2.959967039999995,3.877356219999996,0.119907379,-0.296587437,Clog,0.0
248,2.889973450000003,3.430890190000003,-0.41009903,-0.49569237,Clog,0.0
677,3.690038300000005,4.328392579999999,-0.910163879,-1.099989955,Control,1.0
74,2.759893040000001,3.357066979999999,0.019981384,0.225081996,Leak,1.0
434,2.829162599999997,3.571515750000003,0.58115387,0.379334553,Clog,0.0
369,2.63972244,3.398121230000001,0.140151978,0.56734647,Clog,0.0
104,2.000015259999998,2.572145249999998,0.679859161,0.564211046,Leak,1.0
114,3.040078739999998,3.718033140000003,-0.260204315,-0.644570155,Leak,1.0
426,4.450634000000001,5.096590759999998,-1.270759583,-0.948770763,Clog,0.0
92,2.364992900000001,3.282788579999998,0.114881516,-0.197928698,Leak,1.0
375,3.260198969999998,4.042025209999998,0.819675446,0.267444121,Clog,0.0
89,2.159736629999998,2.775387199999997,0.520137787,0.537699238,Leak,1.0
394,2.549813080000003,3.120905699999998,-0.06993866,-0.011663129,Clog,0.0
519,2.389918140000002,3.192012270000003,0.089956284,0.037896051,Control,1.0
708,4.590010830000001,5.333627169999996,-0.710136414,-1.175523555,Control,1.0
449,3.429655459999999,4.091004220000002,-0.849781036,-0.977994914,Control,1.0
702,4.470291900000003,5.00448776,-0.49041748,-0.709017789,Control,1.0
11,2.400106049999998,3.066303510000004,0.379768372,0.33329948,Leak,1.0
43,3.16989555,3.8254515,-0.590021133,-0.427439633,Leak,1.0
42,2.310218810000002,2.837874450000001,0.369655609,0.387842091,Leak,1.0
167,2.949931340000003,3.365879259999996,-0.570056915,-0.43331499,Clog,0.0
670,3.020225140000001,3.500034329999998,-0.240350723,0.011966974,Control,1.0
588,3.56982841,3.90601032,-0.989953995,-0.809844447,Control,1.0
604,2.780081179999996,3.26673967,-0.200206757,-0.190045379,Control,1.0
178,2.61015167,3.04208654,-0.030277252,0.17442201,Clog,0.0
639,3.039863199999999,3.737220900000004,-0.259988785,-0.365157665,Control,1.0
515,2.820294190000002,3.335264800000001,-0.340419769,-0.130924138,Control,1.0
177,2.530283359999999,2.934462789999998,0.049591064,0.152462532,Clog,0.0
529,3.870244599999999,4.549204670000002,-0.359928131,-0.74847552,Control,1.0
536,3.020000840000002,3.396595730000001,-0.440126419,-0.520854051,Control,1.0
257,3.229924389999997,3.807970180000002,-0.850049973,-0.500341511,Clog,0.0
326,3.310004429999996,4.024576700000001,0.569869995,0.215955613,Clog,0.0
761,4.010023499999996,4.536329279999997,-0.430149078,-0.297414861,Control,1.0
15,2.030096440000001,2.701185009999996,0.549777985,0.209451749,Leak,1.0
473,2.510068129999997,3.248795939999997,-0.13019371,-0.249401233,Control,1.0
256,3.220042800000002,3.844825,-0.940168381,-1.054227426,Clog,0.0
516,4.38993301,4.89026587,-0.810058594,-0.754834386,Control,1.0
356,1.690093229999999,2.37984999,0.689781189,0.220681937,Clog,0.0
306,3.56990433,4.113228929999998,-0.390029907,0.555561468,Clog,0.0
590,3.130092999999995,3.527396529999997,-0.550218582,-0.417149208,Control,1.0
381,2.459945679999997,3.232800480000002,0.219928741,0.022773543,Clog,0.0
338,2.319941330000002,3.007056960000003,0.15993309,0.287005928,Clog,0.0
311,2.19998932,2.995385630000001,0.479885101,0.393416788,Clog,0.0
525,3.129936219999998,3.891461720000002,0.280380249,-0.116726126,Control,1.0
9,2.110049059999998,2.760402879999997,0.369825363,0.276415862,Leak,1.0
249,2.179951480000003,2.678397540000002,0.299922943,0.432582873,Clog,0.0
22,2.430088419999997,3.223439630000001,0.149785995,0.182814117,Leak,1.0
221,2.52989616,3.105737149999996,0.049978256,0.039614454,Clog,0.0
523,3.969907000000003,4.718446269999998,-0.090032578,-0.308266708,Control,1.0
658,3.630000690000003,3.965604200000001,-0.850126266,-0.617943171,Control,1.0
747,4.375166319999998,4.802040959999999,-0.795291901,-0.643395528,Control,1.0
526,3.771034239999999,4.283357350000003,-0.360717773,-0.41504581,Control,1.0
640,3.535028080000004,4.302029279999999,-0.755153656,-0.994089486,Control,1.0
203,2.769846340000001,3.302066259999997,-0.189971924,-0.133918544,Clog,0.0
494,3.64002151,4.174791840000001,-0.529705048,-0.484234271,Control,1.0
93,2.9597023,3.444219130000004,0.520172119,1.16671275,Leak,1.0
365,2.931129460000001,3.44367432,0.248744965,1.169263253,Clog,0.0
328,3.399951169999998,4.18684017,0.479923248,0.073399274,Clog,0.0
467,3.51986084,4.248782590000005,-0.009544373,-0.102306574,Control,1.0
