,Type,Plot,Site_Name,mean,min,prctile5,max,prctile95,std,MTD,median,skewness,kurtosis,IQR,MAD,meanci_1,meanci_2,Diff_median_of_plot,Diff_mean_of_plot,Diff_std_of_plot,Diff_median_of_row,Diff_mean_of_row,Diff_std_of_row,prctile33,mean_first_ring,mean_second_ring,mean_third_ring,mean_core,median_first_ring,median_second_ring,median_third_ring,median_core,CWSI,CWSI_minus_CWSI_of_row
0,Leak,A,Sde_David,3.3043255,0.10027924,0.82997627,13.17900696,9.34021835,2.498603578,13.07872772,2.54060402,1.807334618,6.08120677,2.09970665,1.772259355,3.23159362,3.37705739,0.039270401,-0.039257515,-0.191295014,-0.020643234,-0.154288679,-0.166708953,1.34709455,4.0829043,3.5933394,2.40428784,2.68644317,2.98974075,2.95918884,2.34004822,2.67983856,0.046190222,0.029452817
1,Leak,A,Sde_David,3.69511568,1.24012718,1.66000996,13.36880646,8.84126148,2.204430257,12.12867928,2.9900528,2.110660603,7.572648668,1.669989586,1.52404107,3.62115462,3.76907673,-0.210178375,-0.230047688,0.102878306,-0.529987335,-0.564697271,-0.006788037,2.09193853,3.40713462,4.17759163,2.84625499,2.82684814,2.70981178,3.09031448,2.92001686,2.82990417,0.198838098,-0.13105422
2,Leak,A,Sde_David,2.59437005,0.13021011,0.77001648,13.46013184,8.31873455,2.32309354,13.32992172,1.85956879,2.450774915,8.973432044,1.260007858,1.517163451,2.52899411,2.659746,1.020305634,0.970697938,-0.015784976,0.760501862,0.733600412,-0.003851464,1.09363315,3.58076806,2.98573825,1.76411309,1.40622051,2.58990402,2.15495605,1.58995361,1.42995949,-0.106680641,0.245718142
3,Leak,A,Sde_David,2.97665943,-0.30997505,0.74986811,13.35154877,8.65182533,2.357951551,13.66152382,2.26004944,2.116233496,7.754749869,1.949759483,1.623517267,2.9132773,3.04004156,0.519824982,0.48840856,-0.050642988,0.459941864,0.445398734,0.021419606,1.23227864,3.49556062,3.30517012,2.01334111,1.68170101,2.78051147,2.5405098,1.69011078,1.61005936,-0.037995531,0.149007387
4,Leak,A,Sde_David,3.6598296,0.94012718,1.57986526,14.00949936,9.09867172,2.298244964,13.06937218,2.89509659,2.039840825,7.195160596,1.839975357,1.601794449,3.56439016,3.75526903,0.584777832,0.505238394,0.009063599,0.764884949,0.644558835,0.027471244,1.96687775,4.06900649,3.22508397,2.87471476,3.3678088,3.00090485,2.75019531,2.89031677,3.37008362,-0.035264208,0.273477486
5,Leak,A,Sde_David,3.14155011,0.40014877,1.20996628,13.16956177,8.75699692,2.307799243,12.76941299,2.35026398,2.151564605,7.606834063,1.814983368,1.595714383,3.08085417,3.20224605,0.229610443,0.123517876,-0.000490679,0.549560547,0.414202192,0.005116916,1.50816951,3.34578816,3.54388054,3.1938822,2.06390332,2.36513748,2.72010651,2.31993332,1.89490738,0.088248489,0.145695225
6,Leak,A,Sde_David,3.08148218,0.56036186,1.35982771,13.25294876,7.7523428,2.078111707,12.6925869,2.45030975,2.490993447,9.801055899,1.570014954,1.36781502,3.03196036,3.131004,0.229564667,0.28358581,0.229196856,0.229589462,0.237310502,0.092031992,1.64356515,3.46646128,3.14111875,3.08759836,2.12139965,2.82051849,2.39014053,2.55005646,1.95020294,0.100104467,0.055674195
7,Leak,A,Sde_David,3.56711402,0.88009415,1.57992516,13.31078491,8.90679893,2.181407278,12.43069077,2.9800354,2.204928208,7.958084812,1.520198822,1.45168445,3.48113158,3.65309646,-0.20016098,-0.102046032,0.125901285,-0.189956665,-0.095766168,0.185305842,1.98748487,3.95897301,3.30518658,3.10256728,2.66799325,3.02028427,3.09002075,3.01012764,2.54009781,0.170061441,-0.062809352
8,Leak,A,Sde_David,3.12858264,0.85000076,1.16001511,13.10959854,8.72350693,2.32142343,12.25959778,2.35997238,2.046344674,7.085752991,1.899932861,1.629372412,3.0353104,3.22185487,0.219902039,0.136485355,-0.014114866,0.539852142,0.427169671,-0.008507271,1.43070444,3.39760659,3.59176184,2.15713432,2.04359087,2.28036728,2.90490761,2.02983704,2.06497231,0.068021592,0.165922122
9,Leak,A,Sde_David,2.86900337,0.47002106,0.78035431,12.87962799,8.99802856,2.432706895,12.40960693,2.11004906,2.113856667,7.195243918,1.710212708,1.651968382,2.76040288,2.97760387,0.369825363,0.296064617,-0.125398331,0.309782028,0.276415862,-0.090265068,1.12690059,3.19216667,2.20329859,1.86658888,1.99340812,2.10996895,2.0401619,1.80002289,1.98995285,0.014429617,0.105624918
10,Leak,A,Sde_David,3.82370269,1.44006424,1.80005322,13.06999664,9.73571606,2.429052987,11.6299324,2.94990234,1.895849274,6.048876956,1.839286804,1.758523388,3.6884259,3.95897949,-0.470027924,-0.658634703,-0.121744424,-0.089836121,-0.340842107,-0.227587845,2.09050254,4.75730787,2.64316925,2.20145156,2.28871507,3.45985489,2.54520874,2.20991402,2.26993256,0.25963312,0.030001473
11,Leak,A,Sde_David,3.15627709,0.21014938,1.1199502,13.35939941,8.88967171,2.393524564,13.14925003,2.40010605,2.10875138,7.390857775,1.642568588,1.65351093,3.06630351,3.24625067,0.379768372,0.308790896,-0.086216,0.400081635,0.33329948,-0.060655154,1.45223714,3.55082867,3.06515985,1.8646075,1.60882056,2.64994583,2.54005966,1.87500343,1.60999451,0.022602353,0.082062594
12,Leak,A,Sde_David,3.56485906,0.9800106,1.36601257,13.13133011,9.32965622,2.473747686,12.1513195,2.69012985,1.804414107,5.89388036,2.199954987,1.802480693,3.37607277,3.75364535,0.089744568,-0.09979107,-0.166439123,0.029830933,-0.214822234,-0.141853062,1.68397619,3.1918268,2.28761914,1.94533246,1.96244609,2.85993347,2.26503334,1.96003876,1.90996704,0.08644574,-0.010802701
13,Leak,A,Sde_David,3.20242153,1.12024117,1.54994488,13.27900314,7.92226238,1.987665997,12.15876198,2.60995102,2.479398434,9.609447148,1.369911194,1.293016627,3.10844773,3.29639533,0.069923401,0.162646458,0.319642566,-0.320022583,-0.257392426,0.205177699,1.83817225,3.73521701,2.63495957,2.08623299,1.92217927,2.99993134,2.43984985,2.01497078,1.87990189,0.152280681,-0.088427055
14,Leak,A,Sde_David,3.99473351,1.47022972,1.90012302,13.26680145,9.55011005,2.379495831,11.79657173,3.1802536,1.863563336,6.033742757,1.818528175,1.700226451,3.8471486,4.14231843,-0.400379181,-0.529665524,-0.072187268,-0.339952469,-0.475625009,-0.200539732,2.22609319,4.47306853,2.67683335,2.99540253,3.38746452,3.67021904,2.67996368,2.9149929,3.35022888,0.235797292,-0.072761746
15,Leak,A,Sde_David,2.78717776,0.02014771,0.55205574,13.14026489,9.1753067,2.547595322,13.12011719,2.03009644,2.000908605,6.768358029,2.020116806,1.772063631,2.70118501,2.87317052,0.549777985,0.477890226,-0.240286759,0.26984787,0.209451749,-0.130760079,0.89891742,3.26457545,2.13739962,1.49278107,1.29621593,2.25062408,1.76528969,1.37997665,1.25002327,-0.070833265,0.125406511
