ID,Label,RTK_Num,Plot,row,Site_Name,cluster_number,Tree_num,Longitude,Latitude,mean,min,prctile5,max,prctile95,std,Std_plot,MTD,median,skewness,kurtosis,IQR,MAD,Meanci_1,Meanci_2,centroidY,centroidX,Diff_median_of_plot,Diff_mean_of_plot,Diff_std_of_plot,Diff_median_of_row,Diff_mean_of_row,Diff_std_of_row,AirTemp,mean_prctile33,mean_First_ring,mean_second_ring,mean_three_ring,mean_core,median_First_ring,median_second_ring,median_three_ring,median_core,CWSI,CWSI_minus_CWSI_of_row
1,blue,1,A,9,Sde_David,282,2,171821.4737,608237.7421,33.9043255,30.70027924,31.42997627,43.77900696,39.94021835,2.498603578,2.307308563,13.07872772,33.14060402,1.807334618,6.08120677,2.09970665,1.772259355,33.83159362,33.97705739,6056.542328,954.9550265,0.039270401,-0.039257515,-0.191295014,-0.020643234,-0.154288679,-0.166708953,30.6,31.94709455,34.6829043,34.1933394,33.00428784,33.28644317,33.58974075,33.55918884,32.94004822,33.27983856,0.046190222,0.029452817
2,blue,2,A,55,Sde_David,2756,1,172031.6509,608253.0837,34.09511568,31.64012718,32.06000996,43.76880646,39.24126148,2.204430257,2.307308563,12.12867928,33.3900528,2.110660603,7.572648668,1.669989586,1.52404107,34.02115462,34.16907673,5856.757247,3691.979209,-0.210178375,-0.230047688,0.102878306,-0.529987335,-0.564697271,-0.006788037,30.4,32.49193853,33.80713462,34.57759163,33.24625499,33.22684814,33.10981178,33.49031448,33.32001686,33.22990417,0.198838098,-0.13105422
3,blue,3,A,18,Sde_David,735,13,171861.6039,608311.3593,32.89437005,30.43021011,31.07001648,43.76013184,38.61873455,2.32309354,2.307308563,13.32992172,32.15956879,2.450774915,8.973432044,1.260007858,1.517163451,32.82899411,32.959746,5097.865856,1477.549557,1.020305634,0.970697938,-0.015784976,0.760501862,0.733600412,-0.003851464,30.3,31.39363315,33.88076806,33.28573825,32.06411309,31.70622051,32.88990402,32.45495605,31.88995361,31.72995949,-0.106680641,0.245718142
4,blue,4,A,14,Sde_David,536,12,171843.6266,608311.7375,33.37665943,30.09002495,31.14986811,43.75154877,39.05182533,2.357951551,2.307308563,13.66152382,32.66004944,2.116233496,7.754749869,1.949759483,1.623517267,33.3132773,33.44004156,5092.940026,1243.44106,0.519824982,0.48840856,-0.050642988,0.459941864,0.445398734,0.021419606,30.4,31.63227864,33.89556062,33.70517012,32.41334111,32.08170101,33.18051147,32.9405098,32.09011078,32.01005936,-0.037995531,0.149007387
5,blue,5,A,25,Sde_David,1122,20,171895.0946,608351.5216,33.3598296,30.64012718,31.27986526,43.70949936,38.79867172,2.298244964,2.307308563,13.06937218,32.59509659,2.039840825,7.195160596,1.839975357,1.601794449,33.26439016,33.45526903,4574.852915,1913.680717,0.584777832,0.505238394,0.009063599,0.764884949,0.644558835,0.027471244,29.7,31.66687775,33.76900649,32.92508397,32.57471476,33.0678088,32.70090485,32.45019531,32.59031677,33.07008362,-0.035264208,0.273477486
6,blue,6,A,37,Sde_David,1766,23,171948.885,608354.4373,33.74155011,31.00014877,31.80996628,43.76956177,39.35699692,2.307799243,2.307308563,12.76941299,32.95026398,2.151564605,7.606834063,1.814983368,1.595714383,33.68085417,33.80224605,4536.884089,2614.163967,0.229610443,0.123517876,-0.000490679,0.549560547,0.414202192,0.005116916,30.6,32.10816951,33.94578816,34.14388054,33.7938822,32.66390332,32.96513748,33.32010651,32.91993332,32.49490738,0.088248489,0.145695225
7,blue,7,A,73,Sde_David,3720,16,172111.0516,608357.1091,33.58148218,31.06036186,31.85982771,43.75294876,38.2523428,2.078111707,2.307308563,12.6925869,32.95030975,2.490993447,9.801055899,1.570014954,1.36781502,33.53196036,33.631004,4502.089996,4725.971923,0.229564667,0.28358581,0.229196856,0.229589462,0.237310502,0.092031992,30.5,32.14356515,33.96646128,33.64111875,33.58759836,32.62139965,33.32051849,32.89014053,33.05005646,32.45020294,0.100104467,0.055674195
8,blue,8,A,11,Sde_David,395,19,171831.4721,608362.3653,33.96711402,31.28009415,31.97992516,43.71078491,39.30679893,2.181407278,2.307308563,12.43069077,33.3800354,2.204928208,7.958084812,1.520198822,1.45168445,33.88113158,34.05309646,4433.641212,1085.159192,-0.20016098,-0.102046032,0.125901285,-0.189956665,-0.095766168,0.185305842,30.4,32.38748487,34.35897301,33.70518658,33.50256728,33.06799325,33.42028427,33.49002075,33.41012764,32.94009781,0.170061441,-0.062809352
9,blue,9,A,37,Sde_David,1769,26,171947.4451,608381.63,33.72858264,31.45000076,31.76001511,43.70959854,39.32350693,2.32142343,2.307308563,12.25959778,32.95997238,2.046344674,7.085752991,1.899932861,1.629372412,33.6353104,33.82185487,4182.768262,2595.413518,0.219902039,0.136485355,-0.014114866,0.539852142,0.427169671,-0.008507271,30.6,32.03070444,33.99760659,34.19176184,32.75713432,32.64359087,32.88036728,33.50490761,32.62983704,32.66497231,0.068021592,0.165922122
10,blue,10,A,41,Sde_David,2002,30,171965.0498,608386.8686,33.56900337,31.17002106,31.48035431,43.57962799,39.69802856,2.432706895,2.307308563,12.40960693,32.81004906,2.113856667,7.195243918,1.710212708,1.651968382,33.46040288,33.67760387,4114.548187,2824.669948,0.369825363,0.296064617,-0.125398331,0.309782028,0.276415862,-0.090265068,30.7,31.82690059,33.89216667,32.90329859,32.56658888,32.69340812,32.80996895,32.7401619,32.50002289,32.68995285,0.014429617,0.105624918
11,blue,11,A,62,Sde_David,3170,29,172062.2978,608417.8695,34.52370269,32.14006424,32.50005322,43.76999664,40.43571606,2.429052987,2.307308563,11.6299324,33.64990234,1.895849274,6.048876956,1.839286804,1.758523388,34.3884259,34.65897949,3710.840451,4091.078163,-0.470027924,-0.658634703,-0.121744424,-0.089836121,-0.340842107,-0.227587845,30.7,32.79050254,35.45730787,33.34316925,32.90145156,32.98871507,34.15985489,33.24520874,32.90991402,32.96993256,0.25963312,0.030001473
12,blue,12,A,10,Sde_David,362,33,171826.4738,608441.7476,33.55627709,30.61014938,31.5199502,43.75939941,39.28967171,2.393524564,2.307308563,13.14925003,32.80010605,2.10875138,7.390857775,1.642568588,1.65351093,33.46630351,33.64625067,3399.888644,1020.068357,0.379768372,0.308790896,-0.086216,0.400081635,0.33329948,-0.060655154,30.4,31.85223714,33.95082867,33.46515985,32.2646075,32.00882056,33.04994583,32.94005966,32.27500343,32.00999451,0.022602353,0.082062594
13,blue,13,A,9,Sde_David,323,43,171823.5978,608487.7653,33.96485906,31.3800106,31.76601257,43.53133011,39.72965622,2.473747686,2.307308563,12.1513195,33.09012985,1.804414107,5.89388036,2.199954987,1.802480693,33.77607277,34.15364535,2800.625378,982.6163142,0.089744568,-0.09979107,-0.166439123,0.029830933,-0.214822234,-0.141853062,30.4,32.08397619,33.5918268,32.68761914,32.34533246,32.36244609,33.25993347,32.66503334,32.36003876,32.30996704,0.08644574,-0.010802701
