,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,LogisticRegression,1,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.01}","{'FNR': 0.2214074074074074, 'FNR_Leak': 0.0, 'FNR_Clog': 0.28116302266837534, 'balanced_ACC': 0.7978410069917959}",0.18291057860900062,0.5895168147099811,0.7948201438848921,0.8144663268300658,0.7925089284232333
1,LogisticRegression,2,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.02}","{'FNR': 0.2214074074074074, 'FNR_Leak': 0.0, 'FNR_Clog': 0.28116302266837534, 'balanced_ACC': 0.7985248176288503}",0.1815429573348919,0.5908635268281501,0.7953956834532373,0.8148938034508592,0.7926664125918093
2,LogisticRegression,3,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.03}","{'FNR': 0.2214074074074074, 'FNR_Leak': 0.0, 'FNR_Clog': 0.28116302266837534, 'balanced_ACC': 0.7985248176288503}",0.1815429573348919,0.5908635268281501,0.7953956834532373,0.8148938034508592,0.7926664125918093
3,LogisticRegression,4,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.04}","{'FNR': 0.2214074074074074, 'FNR_Leak': 0.0, 'FNR_Clog': 0.28116302266837534, 'balanced_ACC': 0.7981799900426434}",0.18223261250730566,0.590178194012582,0.7951079136690647,0.8146754589318435,0.7925872206096729
4,LogisticRegression,5,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.05}","{'FNR': 0.2214074074074074, 'FNR_Leak': 0.0, 'FNR_Clog': 0.28116302266837534, 'balanced_ACC': 0.7978410069917959}",0.18291057860900062,0.5895311491862967,0.7948201438848921,0.8144736392461529,0.7925092254683866
5,LogisticRegression,6,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.060000000000000005}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.28116302266837534, 'balanced_ACC': 0.7975940934115491}",0.18291057860900062,0.5890490417728725,0.7945323741007193,0.8141550710134906,0.7920782133688904
6,LogisticRegression,7,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.06999999999999999}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.28116302266837534, 'balanced_ACC': 0.7975940934115491}",0.18291057860900062,0.5890490417728725,0.7945323741007193,0.8141550710134906,0.7920782133688904
7,LogisticRegression,8,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.08}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.28116302266837534, 'balanced_ACC': 0.7975940934115491}",0.18291057860900062,0.5890490417728725,0.7945323741007193,0.8141550710134906,0.7920782133688904
8,LogisticRegression,9,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.09}","{'FNR': 0.2214074074074074, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804222819276346, 'balanced_ACC': 0.7978410069917959}",0.18291057860900062,0.5895311491862967,0.7948201438848921,0.8144736392461529,0.7925092254683866
9,LogisticRegression,10,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.09999999999999999}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804222819276346, 'balanced_ACC': 0.797594093411549}",0.18291057860900062,0.5890274852163658,0.7945323741007193,0.8141714577675008,0.7920868658520724
10,LogisticRegression,11,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.11}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804222819276346, 'balanced_ACC': 0.797594093411549}",0.18291057860900062,0.5890274852163658,0.7945323741007193,0.8141714577675008,0.7920868658520724
11,LogisticRegression,12,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.12}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804222819276346, 'balanced_ACC': 0.7979447655331154}",0.18220923436586794,0.5896861372950287,0.7948201438848921,0.8143819490530885,0.7921676679064307
12,LogisticRegression,13,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.13}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804222819276346, 'balanced_ACC': 0.7979447655331154}",0.18220923436586794,0.5896861372950287,0.7948201438848921,0.8143819490530885,0.7921676679064307
13,LogisticRegression,14,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.14}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804222819276346, 'balanced_ACC': 0.7979447655331154}",0.18220923436586794,0.5896861372950287,0.7948201438848921,0.8143819490530885,0.7921676679064307
14,LogisticRegression,15,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.15000000000000002}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804222819276346, 'balanced_ACC': 0.7979506100684749}",0.1821975452951491,0.5896950052918161,0.7948201438848921,0.8143860591500779,0.7921686485396888
15,LogisticRegression,16,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.16}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804222819276346, 'balanced_ACC': 0.7979506100684749}",0.1821975452951491,0.5896950052918161,0.7948201438848921,0.8143860591500779,0.7921686485396888
16,LogisticRegression,17,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.17}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804222819276346, 'balanced_ACC': 0.7986402652408887}",0.18081823495032145,0.5910380738679393,0.7953956834532373,0.8148077660392515,0.7923248353414108
17,LogisticRegression,18,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.18000000000000002}","{'FNR': 0.22239506172839504, 'FNR_Leak': 0.0, 'FNR_Clog': 0.28125561526096793, 'balanced_ACC': 0.7987381792468488}",0.1801285797779077,0.5911909237419289,0.7953956834532374,0.8147217627321801,0.7919851392808966
18,LogisticRegression,19,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.19}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804045514311807, 'balanced_ACC': 0.7989850928270957}",0.18012857977790767,0.5917111420739208,0.79568345323741,0.8150099405876565,0.7924008706267162
19,LogisticRegression,20,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.2}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804045514311807, 'balanced_ACC': 0.7989850928270957}",0.18012857977790767,0.5917111420739208,0.79568345323741,0.8150099405876565,0.7924008706267162
20,LogisticRegression,21,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.21000000000000002}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804045514311807, 'balanced_ACC': 0.7986402652408887}",0.18081823495032145,0.5910748462067359,0.7953956834532374,0.8147961041096692,0.7923169231185991
21,LogisticRegression,22,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.22}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804045514311807, 'balanced_ACC': 0.7986402652408887}",0.18081823495032145,0.5910748462067359,0.7953956834532374,0.8147961041096692,0.7923169231185991
22,LogisticRegression,23,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.23}","{'FNR': 0.22190123456790123, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2804045514311807, 'balanced_ACC': 0.7986402652408887}",0.18081823495032145,0.5910748462067359,0.7953956834532374,0.8147961041096692,0.7923169231185991
