,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,RF,1,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.26216049382716045, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29244631241252317, 'balanced_ACC': 0.8324206297667235}",0.07299824663939217,0.6602104322619498,0.8175539568345325,0.8232201884108963,0.7696031126802141
1,RF,2,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2631975308641975, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29517965597381607, 'balanced_ACC': 0.8301838178525303}",0.07643483343074226,0.655579141193074,0.8155395683453237,0.821444921315303,0.7683222070515328
2,RF,3,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.26266666666666666, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2933358046196624, 'balanced_ACC': 0.8321616988116111}",0.07300993571011104,0.6596908580580618,0.8172661870503597,0.822964187582063,0.7691917466354451
3,RF,4,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.26568518518518525, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29735312179394546, 'balanced_ACC': 0.8299627843799381}",0.07438924605493863,0.6554546595858494,0.8149640287769785,0.8204214686479324,0.7663311595738557
4,RF,5,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2651358024691358, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29507779167089315, 'balanced_ACC': 0.8329844073568988}",0.06889538281706603,0.6618128940082313,0.8175539568345325,0.8225012306468292,0.7673901809810287
5,RF,6,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.26220987654320993, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29339216222060027, 'balanced_ACC': 0.8327232323888276}",0.072343658679135,0.6607183390405261,0.817841726618705,0.823473433394933,0.7696809060710693
6,RF,7,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.26166666666666666, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29245775536700014, 'balanced_ACC': 0.8323227157607636}",0.07368790181180597,0.6599454206033535,0.8175539568345325,0.8233917589103976,0.7699895370857189
7,RF,8,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2651913580246914, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29863926022864756, 'balanced_ACC': 0.831916302285141}",0.0709760374050263,0.6594887229808672,0.8166906474820145,0.8218466626553077,0.7671461782369405
8,RF,9,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.26314814814814813, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29104416359095536, 'balanced_ACC': 0.8326047687079245}",0.07164231443600234,0.6605699650588872,0.8175539568345322,0.8231316573541275,0.7689461271791724
9,RF,10,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2636790123456791, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29408304388140677, 'balanced_ACC': 0.832666630589288}",0.07098772647574518,0.6608806239132279,0.8175539568345325,0.8229126745645392,0.7685087497469894
10,RF,11,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2736049382716049, 'FNR_Leak': 0.0, 'FNR_Clog': 0.3051195683850244, 'balanced_ACC': 0.8318357541254483}",0.06272355347749854,0.6603405179046944,0.815251798561151,0.8191215964104209,0.7606851877858039
11,RF,12,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.27912345679012346, 'FNR_Leak': 0.0, 'FNR_Clog': 0.3097992638629479, 'balanced_ACC': 0.8283809951584158}",0.064114552893045,0.6538749786907496,0.8115107913669065,0.81496536695544,0.7556178008669757
12,RF,13,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2741049382716049, 'FNR_Leak': 0.0, 'FNR_Clog': 0.3065840793356035, 'balanced_ACC': 0.8315799095900889}",0.06273524254821741,0.6600427953940278,0.8149640287769785,0.8187322929192414,0.7602004367958837
13,RF,14,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.27713580246913583, 'FNR_Leak': 0.0, 'FNR_Clog': 0.3121132186846427, 'balanced_ACC': 0.830403460542171}",0.0620572764465225,0.6578935373963152,0.8135251798561152,0.8169930013671031,0.7576219794196791
14,RF,15,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2726358024691358, 'FNR_Leak': 0.0, 'FNR_Clog': 0.3048425554834235, 'balanced_ACC': 0.8336762542300726}",0.06001168907071887,0.6641884845747144,0.816978417266187,0.8206925003541136,0.7618562818696656
15,RF,16,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2786296296296297, 'FNR_Leak': 0.0, 'FNR_Clog': 0.31152919138951407, 'balanced_ACC': 0.8289610472541505}",0.06344827586206896,0.6549587466931045,0.8120863309352518,0.8156315219071386,0.7561860211718122
16,RF,17,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.27461728395061724, 'FNR_Leak': 0.0, 'FNR_Clog': 0.3068240609848288, 'balanced_ACC': 0.8330244965401793}",0.05933372296902396,0.6630329405372737,0.8161151079136691,0.8196510878956788,0.7602013604083495
17,RF,18,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.27762962962962967, 'FNR_Leak': 0.0, 'FNR_Clog': 0.31043550032457135, 'balanced_ACC': 0.8308345130636188}",0.06070134424313268,0.6589109050261419,0.8138129496402878,0.817177879082294,0.757359800033143
18,RF,19,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.27361728395061724, 'FNR_Leak': 0.0, 'FNR_Clog': 0.30425357824627886, 'balanced_ACC': 0.8352369454004949}",0.055908825248392746,0.6675282143795884,0.8181294964028777,0.8215262989633015,0.7615117573986349
19,RF,20,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2786111111111112, 'FNR_Leak': 0.0, 'FNR_Clog': 0.3114201004804232, 'balanced_ACC': 0.8303379277875186}",0.060713033313851555,0.657832711631125,0.8132374100719426,0.8166296362914751,0.7565467068942513
