,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,svm_poly,1,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 2}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
1,svm_poly,2,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 3}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
2,svm_poly,3,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 4}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
3,svm_poly,4,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 5}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
4,svm_poly,5,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 2}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
5,svm_poly,6,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 3}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
6,svm_poly,7,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 4}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
7,svm_poly,8,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 5}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
8,svm_poly,9,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 2}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
9,svm_poly,10,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 3}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
10,svm_poly,11,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 4}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
11,svm_poly,12,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 5}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
12,svm_poly,13,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 2}","{'FNR': 0.045765432098765435, 'FNR_Leak': 0.0, 'FNR_Clog': 0.06899058429751478, 'balanced_ACC': 0.5603785346811841}",0.8334774985388662,0.2029012135454015,0.6221582733812949,0.7449753832559232,0.8578222365980079
13,svm_poly,14,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 3}","{'FNR': 0.08306790123456789, 'FNR_Leak': 0.0, 'FNR_Clog': 0.12578504875539406, 'balanced_ACC': 0.6260464117439082}",0.6648392752776153,0.3191058631894926,0.6716546762589927,0.7635332822775126,0.8486727734797632
14,svm_poly,15,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 4}","{'FNR': 0.04128395061728395, 'FNR_Leak': 0.0, 'FNR_Clog': 0.06543868815716324, 'balanced_ACC': 0.5718945530373546}",0.8149269433080071,0.23546785329100978,0.6325179856115107,0.7510973838691021,0.8632282464511334
15,svm_poly,16,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 5}","{'FNR': 0.04975925925925926, 'FNR_Leak': 0.0, 'FNR_Clog': 0.07646785672166734, 'balanced_ACC': 0.6024318841050283}",0.7453769725306837,0.29624053821486934,0.656978417266187,0.7621378239962457,0.8647941219127965
16,svm_poly,17,"{'kernel': 'poly', 'C': 0.1, 'gamma': 1, 'degree': 2}","{'FNR': 0.11945679012345677, 'FNR_Leak': 0.0, 'FNR_Clog': 0.14596036523684, 'balanced_ACC': 0.6692838784625266}",0.5419754529514904,0.3813286579946956,0.7024460431654675,0.7737983574292238,0.8343494323118119
17,svm_poly,18,"{'kernel': 'poly', 'C': 0.1, 'gamma': 1, 'degree': 3}","{'FNR': 0.13680246913580246, 'FNR_Leak': 0.0, 'FNR_Clog': 0.17733000677676686, 'balanced_ACC': 0.7770224942456581}",0.30915254237288137,0.5677090451897667,0.7905035971223022,0.8264215789477198,0.8479850968025947
18,svm_poly,19,"{'kernel': 'poly', 'C': 0.1, 'gamma': 1, 'degree': 4}","{'FNR': 0.25125308641975314, 'FNR_Leak': 0.0, 'FNR_Clog': 0.25818815916657356, 'balanced_ACC': 0.7327369868894806}",0.2832729398012858,0.46338147109188776,0.7352517985611512,0.7652588592930077,0.7551203796503178
19,svm_poly,20,"{'kernel': 'poly', 'C': 0.1, 'gamma': 1, 'degree': 5}","{'FNR': 0.29691358024691344, 'FNR_Leak': 0.0, 'FNR_Clog': 0.33695945423749735, 'balanced_ACC': 0.7471130520740883}",0.20886031560490942,0.4916188245374076,0.7401438848920863,0.7572541896208623,0.7232223175298579
20,svm_poly,21,"{'kernel': 'poly', 'C': 1, 'gamma': 0.0001, 'degree': 2}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
21,svm_poly,22,"{'kernel': 'poly', 'C': 1, 'gamma': 0.0001, 'degree': 3}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
22,svm_poly,23,"{'kernel': 'poly', 'C': 1, 'gamma': 0.0001, 'degree': 4}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
23,svm_poly,24,"{'kernel': 'poly', 'C': 1, 'gamma': 0.0001, 'degree': 5}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
24,svm_poly,25,"{'kernel': 'poly', 'C': 1, 'gamma': 0.001, 'degree': 2}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
25,svm_poly,26,"{'kernel': 'poly', 'C': 1, 'gamma': 0.001, 'degree': 3}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
26,svm_poly,27,"{'kernel': 'poly', 'C': 1, 'gamma': 0.001, 'degree': 4}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
27,svm_poly,28,"{'kernel': 'poly', 'C': 1, 'gamma': 0.001, 'degree': 5}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
28,svm_poly,29,"{'kernel': 'poly', 'C': 1, 'gamma': 0.01, 'degree': 2}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
29,svm_poly,30,"{'kernel': 'poly', 'C': 1, 'gamma': 0.01, 'degree': 3}","{'FNR': 0.018919753086419754, 'FNR_Leak': 0.0, 'FNR_Clog': 0.03064099462718875, 'balanced_ACC': 0.5100082707390812}",0.9610637054354179,0.06365029460935455,0.5838848920863309,0.7317009546912558,0.8633678302697462
30,svm_poly,31,"{'kernel': 'poly', 'C': 1, 'gamma': 0.01, 'degree': 4}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
31,svm_poly,32,"{'kernel': 'poly', 'C': 1, 'gamma': 0.01, 'degree': 5}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5784172661870504,0.7329016189290161,0.8727678256327729
32,svm_poly,33,"{'kernel': 'poly', 'C': 1, 'gamma': 0.1, 'degree': 2}","{'FNR': 0.08958641975308641, 'FNR_Leak': 0.0, 'FNR_Clog': 0.11828512317757874, 'balanced_ACC': 0.641577333665245}",0.6272589129164231,0.34596506879577893,0.6837410071942446,0.7689011541838766,0.8478796167672296
