,ACC,Algorithm,F1score,F2score,FPR,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,balanced_ACC
154,0.8376978417266185,RF,0.8533183342668509,0.8321746667430412,0.13651665692577442,0.6766341112211528,155,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.18109259259259258,0.0,0.19589242435019447,0.8411953752408167
158,0.8351079136690649,RF,0.8485442532442614,0.8198240473262857,0.11940385739333724,0.6759823943605838,159,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 20}",0.19796913580246916,0.0,0.21214215963792174,0.8413135034020971
156,0.8359712230215827,RF,0.8508243618522378,0.8266014396549108,0.13034482758620689,0.6748510808849421,157,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.188537037037037,0.0,0.20047625058696292,0.840559067688378
74,0.8365467625899281,RF,0.8521014669880327,0.8304496432939841,0.13645821157218,0.6748381388450027,75,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.18308024691358024,0.0,0.19806098711437964,0.8402307707571199
64,0.8365467625899281,RF,0.8522945410612378,0.8314603163641797,0.13855055523085913,0.6743887943171428,65,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.18158024691358027,0.0,0.2005856896695112,0.8399345989277801
70,0.8379856115107913,RF,0.8558173810462337,0.8420209230980694,0.15560490940970192,0.6739095306766616,71,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.16664814814814816,0.0,0.18454218025740385,0.838873471221075
76,0.8351079136690648,RF,0.8499790950433918,0.8253564430895862,0.13035651665692577,0.6733208473249974,77,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.1900185185185185,0.0,0.20302733066811815,0.8398124824122779
72,0.837410071942446,RF,0.8550033547868948,0.8401933256896027,0.15352425482174167,0.6731062052402415,73,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.16913580246913582,0.0,0.1883521800107915,0.8386699713545613
62,0.8371223021582733,RF,0.8543960503255691,0.8384332627846959,0.15090590298071305,0.6730617680958811,63,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.17160493827160495,0.0,0.18914225073093743,0.8387445793738411
40,0.83568345323741,RF,0.851311654340115,0.8295724539958084,0.13721800116890706,0.6729100917595003,41,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.18405555555555556,0.0,0.2003474924170283,0.8393632216377687
