,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,DT,1,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 2}","{'FNR': 0.2961111111111111, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2961111111111111, 'balanced_ACC': 0.614611111111111}",0.4746666666666666,0.2461454041333225,0.6314285714285713,0.6895140037121462,0.6958935254201247
1,DT,2,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 5}","{'FNR': 0.30722222222222223, 'FNR_Leak': 0.0, 'FNR_Clog': 0.30722222222222223, 'balanced_ACC': 0.6297222222222224}",0.43333333333333335,0.2674090780732369,0.6408791208791209,0.6929208844131445,0.6908216749175772
2,DT,3,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 10}","{'FNR': 0.35944444444444446, 'FNR_Leak': 0.0, 'FNR_Clog': 0.35944444444444446, 'balanced_ACC': 0.6249444444444445}",0.3906666666666666,0.25317722112332997,0.6261538461538462,0.6682241803604033,0.6496475007768556
3,DT,4,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 15}","{'FNR': 0.3366666666666667, 'FNR_Leak': 0.0, 'FNR_Clog': 0.3366666666666667, 'balanced_ACC': 0.6403333333333333}",0.38266666666666665,0.29097738999182576,0.6432967032967034,0.68268286477884,0.6687263652041096
4,DT,5,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 20}","{'FNR': 0.2927777777777778, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2927777777777778, 'balanced_ACC': 0.6516111111111113}",0.40399999999999997,0.3155648487815248,0.6610989010989011,0.7075267920933556,0.7053989597857772
5,DT,6,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 2}","{'FNR': 0.30833333333333335, 'FNR_Leak': 0.0, 'FNR_Clog': 0.30833333333333335, 'balanced_ACC': 0.6805}",0.3306666666666667,0.3675803331157901,0.6837362637362638,0.7174038524255242,0.6995262692063834
6,DT,7,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 5}","{'FNR': 0.29333333333333333, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29333333333333333, 'balanced_ACC': 0.6580000000000001}",0.3906666666666667,0.3197955729490306,0.6674725274725276,0.7143853449611964,0.7070930177753304
7,DT,8,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 10}","{'FNR': 0.3066666666666667, 'FNR_Leak': 0.0, 'FNR_Clog': 0.3066666666666667, 'balanced_ACC': 0.6359999999999999}",0.42133333333333334,0.28811511086514136,0.6465934065934066,0.692250906300442,0.690218272316485
8,DT,9,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 15}","{'FNR': 0.2338888888888889, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2338888888888889, 'balanced_ACC': 0.6483888888888889}",0.4693333333333333,0.3243025694329286,0.6731868131868132,0.7332550944067971,0.7498701867385664
9,DT,10,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 20}","{'FNR': 0.21888888888888888, 'FNR_Leak': 0.0, 'FNR_Clog': 0.21888888888888888, 'balanced_ACC': 0.6745555555555556}",0.43199999999999994,0.37729656055967864,0.6938461538461539,0.7474452534050059,0.7644452555060371
10,DT,11,"{'criterion': 'entropy', 'splitter': 'best', 'min_samples_split': 2}","{'FNR': 0.36166666666666664, 'FNR_Leak': 0.0, 'FNR_Clog': 0.36166666666666664, 'balanced_ACC': 0.5738333333333333}",0.4906666666666667,0.15408842525680067,0.5865934065934066,0.6398923663196109,0.6360744513069173
11,DT,12,"{'criterion': 'entropy', 'splitter': 'best', 'min_samples_split': 5}","{'FNR': 0.35055555555555556, 'FNR_Leak': 0.0, 'FNR_Clog': 0.35055555555555556, 'balanced_ACC': 0.5800555555555555}",0.4893333333333333,0.16649590897422964,0.5934065934065934,0.6504321962866855,0.64744582324424
12,DT,13,"{'criterion': 'entropy', 'splitter': 'best', 'min_samples_split': 10}","{'FNR': 0.34055555555555556, 'FNR_Leak': 0.0, 'FNR_Clog': 0.34055555555555556, 'balanced_ACC': 0.5877222222222221}",0.484,0.183524000422062,0.6021978021978022,0.6521544859920146,0.652870124147624
13,DT,14,"{'criterion': 'entropy', 'splitter': 'best', 'min_samples_split': 15}","{'FNR': 0.40055555555555566, 'FNR_Leak': 0.0, 'FNR_Clog': 0.40055555555555566, 'balanced_ACC': 0.582388888888889}",0.4346666666666667,0.1655887900514077,0.5846153846153846,0.6215858613350873,0.6057608010697312
14,DT,15,"{'criterion': 'entropy', 'splitter': 'best', 'min_samples_split': 20}","{'FNR': 0.3761111111111111, 'FNR_Leak': 0.0, 'FNR_Clog': 0.3761111111111111, 'balanced_ACC': 0.6006111111111111}",0.42266666666666663,0.21572319344960036,0.6021978021978022,0.6257880825744604,0.621405736397206
15,DT,16,"{'criterion': 'entropy', 'splitter': 'random', 'min_samples_split': 2}","{'FNR': 0.25388888888888883, 'FNR_Leak': 0.0, 'FNR_Clog': 0.25388888888888883, 'balanced_ACC': 0.6737222222222223}",0.39866666666666667,0.35754185721693477,0.6887912087912089,0.7347366304146492,0.7392140625888866
