,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,RF,1,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2438888888888889, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2438888888888889, 'balanced_ACC': 0.7187222222222222}",0.31866666666666665,0.4462934393845086,0.7252747252747254,0.7660301999342248,0.7574970696557639
1,RF,2,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2388888888888889, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2388888888888889, 'balanced_ACC': 0.6972222222222222}",0.36666666666666664,0.4059115720150716,0.7105494505494506,0.7587345891122981,0.7575243455299814
2,RF,3,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.24444444444444444, 'FNR_Leak': 0.0, 'FNR_Clog': 0.24444444444444444, 'balanced_ACC': 0.715111111111111}",0.3253333333333333,0.4393828198705855,0.7224175824175824,0.763672662047275,0.7561710783426097
3,RF,4,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.23333333333333336, 'FNR_Leak': 0.0, 'FNR_Clog': 0.23333333333333336, 'balanced_ACC': 0.7046666666666666}",0.35733333333333334,0.4175577389278354,0.7167032967032968,0.7656899677549833,0.7638513197346696
4,RF,5,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.25, 'FNR_Leak': 0.0, 'FNR_Clog': 0.25, 'balanced_ACC': 0.7163333333333334}",0.31733333333333336,0.44402132477213163,0.7221978021978022,0.7600287218801153,0.7512168828466005
5,RF,6,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2438888888888889, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2438888888888889, 'balanced_ACC': 0.6993888888888888}",0.35733333333333334,0.4084793025609136,0.7105494505494506,0.7578784517855724,0.754144438940832
6,RF,7,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.265, 'FNR_Leak': 0.0, 'FNR_Clog': 0.265, 'balanced_ACC': 0.7128333333333333}",0.30933333333333335,0.4375659538062942,0.7160439560439561,0.7504128874221753,0.7380374157540899
7,RF,8,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2627777777777778, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2627777777777778, 'balanced_ACC': 0.704611111111111}",0.32799999999999996,0.41728332784512623,0.7105494505494506,0.7531271617958926,0.7409549052124441
8,RF,9,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.29333333333333333, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29333333333333333, 'balanced_ACC': 0.72}",0.26666666666666666,0.44850823818398383,0.7160439560439561,0.7440798754049528,0.7182076708437148
9,RF,10,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2683333333333333, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2683333333333333, 'balanced_ACC': 0.7131666666666667}",0.30533333333333335,0.4331940250017325,0.7162637362637362,0.7540844796758109,0.7379633422102768
10,RF,11,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.25333333333333335, 'FNR_Leak': 0.0, 'FNR_Clog': 0.25333333333333335, 'balanced_ACC': 0.7073333333333334}",0.332,0.42251024097144224,0.7136263736263737,0.7571956172482488,0.7481867044209877
11,RF,12,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.26722222222222225, 'FNR_Leak': 0.0, 'FNR_Clog': 0.26722222222222225, 'balanced_ACC': 0.6870555555555555}",0.3586666666666667,0.3834272498419184,0.6962637362637364,0.7409107383844226,0.7335718510388455
12,RF,13,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.25833333333333336, 'FNR_Leak': 0.0, 'FNR_Clog': 0.25833333333333336, 'balanced_ACC': 0.7081666666666666}",0.3253333333333333,0.4252911133681252,0.7136263736263736,0.7549469563803929,0.7442145232153229
13,RF,14,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.27222222222222225, 'FNR_Leak': 0.0, 'FNR_Clog': 0.27222222222222225, 'balanced_ACC': 0.6812222222222222}",0.3653333333333334,0.37356354052344193,0.6903296703296705,0.7349781089223815,0.7279540381039595
14,RF,15,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2538888888888889, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2538888888888889, 'balanced_ACC': 0.7210555555555556}",0.304,0.4514442589179521,0.7252747252747254,0.7630082861754688,0.7500766184164632
15,RF,16,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.27666666666666667, 'FNR_Leak': 0.0, 'FNR_Clog': 0.27666666666666667, 'balanced_ACC': 0.6869999999999998}",0.3493333333333334,0.38329997294289725,0.6936263736263736,0.7363534590624374,0.7259994771847943
16,RF,17,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2688888888888889, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2688888888888889, 'balanced_ACC': 0.7248888888888889}",0.2813333333333333,0.45699113608679254,0.7252747252747254,0.7573682471639128,0.7387190164896995
17,RF,18,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.28722222222222227, 'FNR_Leak': 0.0, 'FNR_Clog': 0.28722222222222227, 'balanced_ACC': 0.6970555555555555}",0.31866666666666665,0.4003545808686482,0.6991208791208792,0.7377951023864336,0.7201030428908917
18,RF,19,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.28833333333333333, 'FNR_Leak': 0.0, 'FNR_Clog': 0.28833333333333333, 'balanced_ACC': 0.7338333333333332}",0.244,0.4753754039747886,0.7279120879120881,0.7527400061239071,0.7248185531863045
19,RF,20,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2866666666666667, 'FNR_Leak': 0.0, 'FNR_Clog': 0.2866666666666667, 'balanced_ACC': 0.7113333333333333}",0.2906666666666667,0.4285285094959659,0.7107692307692308,0.7453130148145628,0.7234678051251048
20,RF,21,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}","{'FNR': 0.225, 'FNR_Leak': 0.0, 'FNR_Clog': 0.225, 'balanced_ACC': 0.6968333333333332}",0.3813333333333333,0.40201288797585455,0.712967032967033,0.7639423294283975,0.7683554576873383
21,RF,22,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 8}","{'FNR': 0.20555555555555557, 'FNR_Leak': 0.0, 'FNR_Clog': 0.20555555555555557, 'balanced_ACC': 0.6878888888888889}",0.4186666666666667,0.3897447088862072,0.7103296703296703,0.7683561429970099,0.7816431964727906
22,RF,23,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}","{'FNR': 0.23444444444444443, 'FNR_Leak': 0.0, 'FNR_Clog': 0.23444444444444443, 'balanced_ACC': 0.716111111111111}",0.33333333333333337,0.442371111675735,0.7252747252747254,0.7687573609740794,0.7643230685655382
23,RF,24,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 8}","{'FNR': 0.20555555555555557, 'FNR_Leak': 0.0, 'FNR_Clog': 0.20555555555555557, 'balanced_ACC': 0.7038888888888889}",0.38666666666666666,0.4225659660492145,0.7224175824175824,0.7757375868026023,0.784218960066859
24,RF,25,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}","{'FNR': 0.245, 'FNR_Leak': 0.0, 'FNR_Clog': 0.245, 'balanced_ACC': 0.7188333333333334}",0.31733333333333336,0.448584050652283,0.7250549450549453,0.763984765836159,0.7559110506986633
25,RF,26,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 8}","{'FNR': 0.22555555555555556, 'FNR_Leak': 0.0, 'FNR_Clog': 0.22555555555555556, 'balanced_ACC': 0.7085555555555554}",0.35733333333333334,0.42694133040813115,0.7219780219780221,0.7698801226293487,0.7702146013885871
26,RF,27,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}","{'FNR': 0.265, 'FNR_Leak': 0.0, 'FNR_Clog': 0.265, 'balanced_ACC': 0.7128333333333333}",0.30933333333333335,0.4375659538062942,0.7160439560439561,0.7504128874221753,0.7380374157540899
