,ACC,Algorithm,F1score,F2score,FPR,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,balanced_ACC
58,0.7279120879120881,RF,0.7527400061239071,0.7248185531863045,0.244,0.4753754039747886,59,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 10}",0.28833333333333333,0.0,0.28833333333333333,0.7338333333333332
18,0.7279120879120881,RF,0.7527400061239071,0.7248185531863045,0.244,0.4753754039747886,19,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}",0.28833333333333333,0.0,0.28833333333333333,0.7338333333333332
78,0.7279120879120881,RF,0.7527400061239071,0.7248185531863045,0.244,0.4753754039747886,79,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 20}",0.28833333333333333,0.0,0.28833333333333333,0.7338333333333332
38,0.7279120879120881,RF,0.7527400061239071,0.7248185531863045,0.244,0.4753754039747886,39,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.28833333333333333,0.0,0.28833333333333333,0.7338333333333332
98,0.7250549450549453,RF,0.750707326385345,0.7238508418782643,0.252,0.4667882211779165,99,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}",0.2888888888888889,0.0,0.2888888888888889,0.7295555555555555
138,0.7250549450549453,RF,0.750707326385345,0.7238508418782643,0.252,0.4667882211779165,139,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 10}",0.2888888888888889,0.0,0.2888888888888889,0.7295555555555555
158,0.7250549450549453,RF,0.750707326385345,0.7238508418782643,0.252,0.4667882211779165,159,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 20}",0.2888888888888889,0.0,0.2888888888888889,0.7295555555555555
118,0.7250549450549453,RF,0.750707326385345,0.7238508418782643,0.252,0.4667882211779165,119,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.2888888888888889,0.0,0.2888888888888889,0.7295555555555555
88,0.724835164835165,RF,0.7515157199181967,0.726790632145732,0.26,0.4647434643019476,89,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}",0.28444444444444444,0.0,0.28444444444444444,0.7277777777777777
108,0.724835164835165,RF,0.7515157199181967,0.726790632145732,0.26,0.4647434643019476,109,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.28444444444444444,0.0,0.28444444444444444,0.7277777777777777
148,0.724835164835165,RF,0.7515157199181967,0.726790632145732,0.26,0.4647434643019476,149,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 20}",0.28444444444444444,0.0,0.28444444444444444,0.7277777777777777
128,0.724835164835165,RF,0.7515157199181967,0.726790632145732,0.26,0.4647434643019476,129,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 10}",0.28444444444444444,0.0,0.28444444444444444,0.7277777777777777
56,0.7283516483516483,RF,0.7614708112664771,0.7435238212945043,0.2813333333333333,0.46090928501900336,57,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.2638888888888889,0.0,0.2638888888888889,0.727388888888889
76,0.7283516483516483,RF,0.7614708112664771,0.7435238212945043,0.2813333333333333,0.46090928501900336,77,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.2638888888888889,0.0,0.2638888888888889,0.727388888888889
36,0.7283516483516483,RF,0.7614708112664771,0.7435238212945043,0.2813333333333333,0.46090928501900336,37,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.2638888888888889,0.0,0.2638888888888889,0.727388888888889
136,0.725054945054945,RF,0.7563991577737709,0.7375217530243289,0.2813333333333334,0.45978851892482353,137,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.26944444444444443,0.0,0.26944444444444443,0.7246111111111111
116,0.725054945054945,RF,0.7563991577737709,0.7375217530243289,0.2813333333333334,0.45978851892482353,117,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.26944444444444443,0.0,0.26944444444444443,0.7246111111111111
156,0.725054945054945,RF,0.7563991577737709,0.7375217530243289,0.2813333333333334,0.45978851892482353,157,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.26944444444444443,0.0,0.26944444444444443,0.7246111111111111
80,0.7340659340659341,RF,0.7758873427913676,0.7701184065837552,0.31866666666666665,0.45876495722702626,81,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}",0.23,0.0,0.23,0.7256666666666667
16,0.7252747252747254,RF,0.7573682471639128,0.7387190164896995,0.2813333333333333,0.45699113608679254,17,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.2688888888888889,0.0,0.2688888888888889,0.7248888888888889
96,0.7219780219780221,RF,0.7522965936712067,0.732716948219524,0.2813333333333334,0.4558703699926127,97,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.27444444444444444,0.0,0.27444444444444444,0.722111111111111
134,0.7279120879120881,RF,0.767271958175983,0.7572285936939422,0.3106666666666667,0.4528253540172908,135,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.245,0.0,0.245,0.7221666666666667
154,0.7279120879120881,RF,0.767271958175983,0.7572285936939422,0.3106666666666667,0.4528253540172908,155,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.245,0.0,0.245,0.7221666666666667
114,0.7279120879120881,RF,0.767271958175983,0.7572285936939422,0.3106666666666667,0.4528253540172908,115,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.245,0.0,0.245,0.7221666666666667
14,0.7252747252747254,RF,0.7630082861754688,0.7500766184164632,0.304,0.4514442589179521,15,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.2538888888888889,0.0,0.2538888888888889,0.7210555555555556
82,0.7281318681318681,RF,0.7685027274067522,0.7609707974361462,0.31866666666666665,0.44932273098213216,83,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.24,0.0,0.24,0.7206666666666667
94,0.725054945054945,RF,0.7638433867474116,0.7530474090249529,0.3106666666666667,0.4492276872647969,95,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.24944444444444444,0.0,0.24944444444444444,0.7199444444444444
24,0.7250549450549453,RF,0.763984765836159,0.7559110506986633,0.31733333333333336,0.448584050652283,25,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.245,0.0,0.245,0.7188333333333334
44,0.7250549450549453,RF,0.763984765836159,0.7559110506986633,0.31733333333333336,0.448584050652283,45,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.245,0.0,0.245,0.7188333333333334
64,0.7250549450549453,RF,0.763984765836159,0.7559110506986633,0.31733333333333336,0.448584050652283,65,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.245,0.0,0.245,0.7188333333333334
28,0.7160439560439561,RF,0.7440798754049528,0.7182076708437148,0.26666666666666666,0.44850823818398383,29,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.29333333333333333,0.0,0.29333333333333333,0.72
