,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,LogisticRegression,1,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.01}","{'FNR': 0.25509059029807135, 'FNR_Leak': 0.12657964072391317, 'FNR_Clog': 0.31592733285541774, 'balanced_ACC': 0.7650339860348966}",0.2148414376321353,0.5249175346270291,0.7620217018846374,0.7827640934620917,0.7595267702054244
1,LogisticRegression,2,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.02}","{'FNR': 0.25578024547048517, 'FNR_Leak': 0.12657964072391317, 'FNR_Clog': 0.31687971380779867, 'balanced_ACC': 0.7651542747277595}",0.21391120507399577,0.5251078011570005,0.7620217018846374,0.7826299465853084,0.7590476334463273
2,LogisticRegression,3,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.03}","{'FNR': 0.25578024547048517, 'FNR_Leak': 0.12657964072391317, 'FNR_Clog': 0.31687971380779867, 'balanced_ACC': 0.764699729273214}",0.21482029598308672,0.5242198196954287,0.7616295450218924,0.7823416582970202,0.7589389109358257
3,LogisticRegression,4,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.04}","{'FNR': 0.25578024547048517, 'FNR_Leak': 0.12657964072391317, 'FNR_Clog': 0.31687971380779867, 'balanced_ACC': 0.764699729273214}",0.21482029598308672,0.5242198196954287,0.7616295450218924,0.7823416582970202,0.7589389109358257
4,LogisticRegression,5,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.05}","{'FNR': 0.25578024547048517, 'FNR_Leak': 0.12657964072391317, 'FNR_Clog': 0.31687971380779867, 'balanced_ACC': 0.764699729273214}",0.21482029598308672,0.5242155088580714,0.7616295450218924,0.7823198564359573,0.7589327498882423
5,LogisticRegression,6,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.060000000000000005}","{'FNR': 0.25578024547048517, 'FNR_Leak': 0.12657964072391317, 'FNR_Clog': 0.31687971380779867, 'balanced_ACC': 0.764699729273214}",0.21482029598308672,0.5242155088580714,0.7616295450218924,0.7823198564359573,0.7589327498882423
6,LogisticRegression,7,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.06999999999999999}","{'FNR': 0.25578024547048517, 'FNR_Leak': 0.12657964072391317, 'FNR_Clog': 0.31687971380779867, 'balanced_ACC': 0.7651648455522839}",0.21389006342494718,0.5251716101446317,0.7620217018846374,0.782634196518098,0.7590429054625009
7,LogisticRegression,8,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.08}","{'FNR': 0.25646990064289893, 'FNR_Leak': 0.1286849038818079, 'FNR_Clog': 0.31687971380779867, 'balanced_ACC': 0.7652745634206224}",0.21298097251585624,0.5253433781926798,0.7620217018846374,0.7824681197837863,0.7585538166721636
8,LogisticRegression,9,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.09}","{'FNR': 0.25646990064289893, 'FNR_Leak': 0.1286849038818079, 'FNR_Clog': 0.31687971380779867, 'balanced_ACC': 0.765739679699692}",0.2120507399577167,0.526240177318866,0.7624138587473824,0.7827588909595135,0.7586635887757314
9,LogisticRegression,10,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.09999999999999999}","{'FNR': 0.2571478667445939, 'FNR_Leak': 0.1286849038818079, 'FNR_Clog': 0.3179053548334397, 'balanced_ACC': 0.7644810349152295}",0.21389006342494718,0.5237765866249529,0.7612450028555111,0.7817415826339489,0.7578570957726857
10,LogisticRegression,11,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.11}","{'FNR': 0.25646990064289893, 'FNR_Leak': 0.1286849038818079, 'FNR_Clog': 0.3169297450773421, 'balanced_ACC': 0.7652745634206223}",0.21298097251585624,0.5253840112549986,0.7620293165810014,0.782462537107328,0.758547767373124
11,LogisticRegression,12,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.12}","{'FNR': 0.25646990064289893, 'FNR_Leak': 0.1286849038818079, 'FNR_Clog': 0.3169297450773421, 'balanced_ACC': 0.7652745634206223}",0.21298097251585624,0.5253840112549986,0.7620293165810014,0.782462537107328,0.758547767373124
12,LogisticRegression,13,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.13}","{'FNR': 0.255791934541204, 'FNR_Leak': 0.1286849038818079, 'FNR_Clog': 0.31587711349839476, 'balanced_ACC': 0.7660680919260152}",0.21207188160676535,0.5270158146877842,0.7628136303064916,0.7831991390061309,0.7592406716692301
13,LogisticRegression,14,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.14}","{'FNR': 0.2551139684395091, 'FNR_Leak': 0.12668490388180792, 'FNR_Clog': 0.31587711349839476, 'balanced_ACC': 0.7664070749768627}",0.21207188160676535,0.527686584584633,0.7632019798210546,0.7836381234451154,0.7598310704303606
14,LogisticRegression,15,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.15000000000000002}","{'FNR': 0.25580362361192294, 'FNR_Leak': 0.1286849038818079, 'FNR_Clog': 0.31587711349839476, 'balanced_ACC': 0.7660622473906558}",0.21207188160676535,0.5269906463691744,0.7628098229583096,0.7831991390061309,0.7592355675887493
15,LogisticRegression,16,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.16}","{'FNR': 0.25580362361192294, 'FNR_Leak': 0.1286849038818079, 'FNR_Clog': 0.31587711349839476, 'balanced_ACC': 0.7665167928452011}",0.21116279069767444,0.5278900878217669,0.7631981724728726,0.7834874272944192,0.7593420329391171
16,LogisticRegression,17,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.17}","{'FNR': 0.25580362361192294, 'FNR_Leak': 0.1286849038818079, 'FNR_Clog': 0.31587711349839476, 'balanced_ACC': 0.7660622473906558}",0.21207188160676535,0.527034324834166,0.7628136303064914,0.7832153701302574,0.7592356955693501
17,LogisticRegression,18,"{'penalty': 'elasticnet', 'C': 0.1, 'solver': 'saga', 'l1_ratio': 0.18000000000000002}","{'FNR': 0.25580362361192294, 'FNR_Leak': 0.1286849038818079, 'FNR_Clog': 0.31587711349839476, 'balanced_ACC': 0.7665167928452011}",0.21116279069767444,0.52796624994866,0.7632057871692366,0.7835339696847651,0.7593486822371552
