,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
17,XGBoost,18,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 200}","{'FNR': 0.20818234950321446, 'FNR_Leak': 0.15005821186037904, 'FNR_Clog': 0.2372690737303776, 'balanced_ACC': 0.7828961402589634}",0.22602537,0.564116819,0.784347992,0.808182624,0.798062553
0,XGBoost,1,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 100}","{'FNR': 0.29049678550555236, 'FNR_Leak': 0.20241076391788465, 'FNR_Clog': 0.33321664971409193, 'balanced_ACC': 0.7822991759575832}",0.144904863,0.560253679,0.771444889,0.781281271,0.736445318
4,XGBoost,5,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 100}","{'FNR': 0.2891174751607248, 'FNR_Leak': 0.20201076391788464, 'FNR_Clog': 0.33122859060811183, 'balanced_ACC': 0.7811706493118153}",0.148541226,0.557682126,0.770656768,0.781050636,0.737271348
1,XGBoost,2,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 200}","{'FNR': 0.2714669783752192, 'FNR_Leak': 0.1926112651710175, 'FNR_Clog': 0.3104949617782356, 'balanced_ACC': 0.7803235932648217}",0.167885835,0.555482064,0.772613745,0.786495191,0.750517527
2,XGBoost,3,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 100}","{'FNR': 0.2870251315020456, 'FNR_Leak': 0.18910600201312275, 'FNR_Clog': 0.33475943434698996, 'balanced_ACC': 0.7794895484138823}",0.153995772,0.554855623,0.769472682,0.780532635,0.738327348
13,XGBoost,14,"{'learning_rate': 0.01, 'max_depth': 6, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 200}","{'FNR': 0.22114552893045006, 'FNR_Leak': 0.15565189705375462, 'FNR_Clog': 0.2529055456446654, 'balanced_ACC': 0.7782750156616248}",0.22230444,0.553986749,0.778484675,0.801450514,0.787505586
16,XGBoost,17,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 100}","{'FNR': 0.21770894213909994, 'FNR_Leak': 0.16224938498034472, 'FNR_Clog': 0.2449909290495102, 'balanced_ACC': 0.7781011314674479}",0.226088795,0.553610058,0.778857796,0.8025852,0.790105049
9,XGBoost,10,"{'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 200}","{'FNR': 0.22109877264757455, 'FNR_Leak': 0.15625105582412085, 'FNR_Clog': 0.2530813440909657, 'balanced_ACC': 0.7778332775239929}",0.223234672,0.553229346,0.778092519,0.801064344,0.787378733
8,XGBoost,9,"{'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 100}","{'FNR': 0.22791350087668033, 'FNR_Leak': 0.17317375472824387, 'FNR_Clog': 0.2548769973966049, 'balanced_ACC': 0.7776605857138797}",0.216765328,0.552045765,0.776904626,0.798831313,0.782363499
18,XGBoost,19,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 100}","{'FNR': 0.20409117475160732, 'FNR_Leak': 0.1476634750182738, 'FNR_Clog': 0.23290167573318485, 'balanced_ACC': 0.7757662519476635}",0.244376321,0.550913006,0.778850181,0.805420684,0.799481019
3,XGBoost,4,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 200}","{'FNR': 0.2727878433664524, 'FNR_Leak': 0.19300600201312273, 'FNR_Clog': 0.3126815845655057, 'balanced_ACC': 0.7778132664774503}",0.171585624,0.550904915,0.770276033,0.784356235,0.748841992
21,XGBoost,22,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 200}","{'FNR': 0.21226183518410288, 'FNR_Leak': 0.15443287400593902, 'FNR_Clog': 0.24107370823889251, 'balanced_ACC': 0.7758352557694708}",0.236067653,0.550277829,0.777711784,0.802672544,0.793415882
5,XGBoost,6,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 200}","{'FNR': 0.2782349503214495, 'FNR_Leak': 0.1986112651710175, 'FNR_Clog': 0.3171598571419995, 'balanced_ACC': 0.7774152943953007}",0.166934461,0.54951822,0.76910337,0.782283982,0.744708528
12,XGBoost,13,"{'learning_rate': 0.01, 'max_depth': 6, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 100}","{'FNR': 0.2347632963179428, 'FNR_Leak': 0.17755629441078355, 'FNR_Clog': 0.26216880606551846, 'balanced_ACC': 0.7760644406359547}",0.213107822,0.548420549,0.774578336,0.795885023,0.777002743
24,XGBoost,25,"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 100}","{'FNR': 0.20412624196376392, 'FNR_Leak': 0.138422216277015, 'FNR_Clog': 0.23727042074871466, 'balanced_ACC': 0.773412566121712}",0.249048626,0.546549779,0.776881782,0.803962123,0.798885963
20,XGBoost,21,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 100}","{'FNR': 0.21361776738749272, 'FNR_Leak': 0.16115509622816124, 'FNR_Clog': 0.23965331714755275, 'balanced_ACC': 0.7737196575324693}",0.238942918,0.54621043,0.775747192,0.801084873,0.791966412
