,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,svm_rbf,1,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.0001}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5753474205216067,0.7304305651407099,0.8713626315991363
1,svm_rbf,2,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.001}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5753474205216067,0.7304305651407099,0.8713626315991363
2,svm_rbf,3,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.01}","{'FNR': 0.26875511396843954, 'FNR_Leak': 0.16968939223830865, 'FNR_Clog': 0.3171743848643255, 'balanced_ACC': 0.7195547897388246}",0.2921353065539112,0.43623739248653876,0.7213592233009709,0.7509687149550025,0.7389594921869366
3,svm_rbf,4,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1}","{'FNR': 0.29398012857977796, 'FNR_Leak': 0.19023909984064782, 'FNR_Clog': 0.34548967814471304, 'balanced_ACC': 0.7769951365557769}",0.15202959830866805,0.5491858149950203,0.7663430420711974,0.7763877843414568,0.7324973149957773
4,svm_rbf,5,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 1}","{'FNR': 0.0013676212741087085, 'FNR_Leak': 0.002105263157894737, 'FNR_Clog': 0.0010526315789473684, 'balanced_ACC': 0.5209863796377872}",0.9566596194503171,0.14719355537641918,0.5929678279078621,0.7384449116969993,0.8752616066478179
5,svm_rbf,6,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 2}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5753474205216067,0.7304305651407099,0.8713626315991363
6,svm_rbf,7,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 3}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5753474205216067,0.7304305651407099,0.8713626315991363
7,svm_rbf,8,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 4}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5753474205216067,0.7304305651407099,0.8713626315991363
8,svm_rbf,9,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.0001}","{'FNR': 0.0, 'FNR_Leak': 0.0, 'FNR_Clog': 0.0, 'balanced_ACC': 0.5}",1.0,0.0,0.5753474205216067,0.7304305651407099,0.8713626315991363
9,svm_rbf,10,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}","{'FNR': 0.21156049094097024, 'FNR_Leak': 0.09257872354683501, 'FNR_Clog': 0.26839434293868847, 'balanced_ACC': 0.7080463930073162}",0.3723467230443975,0.42256644613562394,0.7201903674090997,0.7641233866500099,0.7784561757724658
10,svm_rbf,11,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}","{'FNR': 0.2905669199298656, 'FNR_Leak': 0.18363383668275313, 'FNR_Clog': 0.3429609533931061, 'balanced_ACC': 0.7800759480688939}",0.1492811839323467,0.5550164229882484,0.7694612602322483,0.7795685162232456,0.735862881619886
11,svm_rbf,12,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.1}","{'FNR': 0.24634716540035076, 'FNR_Leak': 0.16503185043370802, 'FNR_Clog': 0.285964243398616, 'balanced_ACC': 0.7902513644457021}",0.17315010570824527,0.5750135593197536,0.7847515705311251,0.8008500435253741,0.7716986774231163
12,svm_rbf,13,"{'kernel': 'rbf', 'C': 1, 'gamma': 1}","{'FNR': 0.15517241379310345, 'FNR_Leak': 0.11364408213045982, 'FNR_Clog': 0.17568391839081576, 'balanced_ACC': 0.7550882117080994}",0.3346511627906977,0.5228802635541886,0.76868075385494,0.8082735296850129,0.8295211387152852
13,svm_rbf,14,"{'kernel': 'rbf', 'C': 1, 'gamma': 2}","{'FNR': 0.07616598480420808, 'FNR_Leak': 0.07626878202636717, 'FNR_Clog': 0.07644281137341447, 'balanced_ACC': 0.723640051995359}",0.476553911205074,0.5005090159706633,0.7538054445079001,0.8125281993162894,0.8755762182171081
14,svm_rbf,15,"{'kernel': 'rbf', 'C': 1, 'gamma': 3}","{'FNR': 0.040081823495032136, 'FNR_Leak': 0.050930270864326596, 'FNR_Clog': 0.03562519534515973, 'balanced_ACC': 0.653140906434302}",0.6536363636363636,0.4021523381629315,0.6993984389872455,0.7863912250294716,0.8819006800997891
15,svm_rbf,16,"{'kernel': 'rbf', 'C': 1, 'gamma': 4}","{'FNR': 0.019053185271770894, 'FNR_Leak': 0.023254970760233914, 'FNR_Clog': 0.017243858577676005, 'balanced_ACC': 0.5890992001759539}",0.8027484143763215,0.29898029282422944,0.6481286883685513,0.7625415088990166,0.8800094348986045
16,svm_rbf,17,"{'kernel': 'rbf', 'C': 10, 'gamma': 0.0001}","{'FNR': 0.20473407364114554, 'FNR_Leak': 0.08856869848417837, 'FNR_Clog': 0.2604308565141757, 'balanced_ACC': 0.7050008278728732}",0.38526427061310786,0.418237984493096,0.7186217399581193,0.7646945035936404,0.7826868275191976
17,svm_rbf,18,"{'kernel': 'rbf', 'C': 10, 'gamma': 0.001}","{'FNR': 0.2538047925189948, 'FNR_Leak': 0.12560984495380778, 'FNR_Clog': 0.3146864981062389, 'balanced_ACC': 0.7721990836559359}",0.2017970401691332,0.5387405326358408,0.768296211688559,0.7873256896041773,0.7620763262447069
18,svm_rbf,19,"{'kernel': 'rbf', 'C': 10, 'gamma': 0.01}","{'FNR': 0.26129748684979553, 'FNR_Leak': 0.17461147016038658, 'FNR_Clog': 0.3043126659249912, 'balanced_ACC': 0.7891821233827133}",0.16033826638477802,0.5727069295213274,0.7816257376737102,0.7953801327213186,0.7602587519623296
19,svm_rbf,20,"{'kernel': 'rbf', 'C': 10, 'gamma': 0.1}","{'FNR': 0.17830508474576273, 'FNR_Leak': 0.10045927698032962, 'FNR_Clog': 0.21550953226640782, 'balanced_ACC': 0.8095155337370552}",0.20266384778012686,0.6186140434297829,0.811364934323244,0.8333374572058745,0.8260250458813109
20,svm_rbf,21,"{'kernel': 'rbf', 'C': 10, 'gamma': 1}","{'FNR': 0.17214494447691409, 'FNR_Leak': 0.11613087665688285, 'FNR_Clog': 0.19796881338745315, 'balanced_ACC': 0.7581664283957926}",0.311522198731501,0.5237614541951398,0.768684561203122,0.8048719892739264,0.8183115125354206
21,svm_rbf,22,"{'kernel': 'rbf', 'C': 10, 'gamma': 2}","{'FNR': 0.1095499707773232, 'FNR_Leak': 0.09883815063505465, 'FNR_Clog': 0.11449592768374081, 'balanced_ACC': 0.7272334712709578}",0.43598308668076113,0.4898203781179614,0.7518370454978108,0.8054571148389554,0.8541083674706487
22,svm_rbf,23,"{'kernel': 'rbf', 'C': 10, 'gamma': 3}","{'FNR': 0.07073056691992988, 'FNR_Leak': 0.08237265355903124, 'FNR_Clog': 0.06576818579470793, 'balanced_ACC': 0.6751632577662506}",0.5789429175475688,0.41746872948466224,0.713478012564249,0.789142724679043,0.8673926267804197
23,svm_rbf,24,"{'kernel': 'rbf', 'C': 10, 'gamma': 4}","{'FNR': 0.04078316773816481, 'FNR_Leak': 0.059811920174768475, 'FNR_Clog': 0.032448021641670245, 'balanced_ACC': 0.6182870630653786}",0.7226427061310783,0.33461966139965893,0.6696516276413479,0.7698563513071102,0.8731798386493514
24,svm_rbf,25,"{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001}","{'FNR': 0.22923436586791354, 'FNR_Leak': 0.10727661042088286, 'FNR_Clog': 0.2869039441458183, 'balanced_ACC': 0.7697274259455359}",0.23131078224101478,0.5354383661497887,0.7698610317913573,0.793999391686316,0.7798429968198464
