,ACC,Algorithm,F1score,F2score,FPR,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,balanced_ACC
19,0.811364934323244,svm_rbf,0.8333374572058745,0.8260250458813109,0.20266384778012686,0.6186140434297829,20,"{'kernel': 'rbf', 'C': 10, 'gamma': 0.1}",0.17830508474576273,0.10045927698032962,0.21550953226640782,0.8095155337370552
94,0.7906148867313917,RF,0.7930071685164138,0.734258261052381,0.0866384778012685,0.6117626361823215,95,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.30008182349503215,0.22060497844089177,0.33886369256133536,0.8066398493518498
92,0.7906225014277557,RF,0.7936389691625914,0.7362649196489912,0.09027484143763215,0.6105126145983736,93,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.29734658094681476,0.21678679662270994,0.3369491626468054,0.8061892888077767
27,0.808223872073101,svm_rbf,0.8328783305013563,0.8316231806884616,0.2228329809725159,0.6100363092736983,28,"{'kernel': 'rbf', 'C': 100, 'gamma': 0.1}",0.1687551139684395,0.07912686841881889,0.210181921151569,0.8042059525295222
90,0.7902265372168285,RF,0.7932014824154555,0.7356826452779799,0.09027484143763215,0.6097650162529828,91,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}",0.29802454704850967,0.21428679662270994,0.33895041342854404,0.8058503057569293
14,0.7894460308395201,RF,0.7917434479129178,0.7329397370131009,0.08750528541226217,0.6094668729436254,15,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.30143775569842196,0.22295791961736236,0.3398430640670226,0.805528479444658
16,0.788665524462212,RF,0.7906850747188102,0.7307939782312584,0.0856448202959831,0.6091197736456164,17,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.30412624196376387,0.22506318277525708,0.3433894292570767,0.8051144688701267
4,0.7902417666095565,RF,0.7940900916581384,0.7386431038242922,0.09577167019027484,0.6079726658719494,5,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.29394506136762133,0.21259933375877652,0.3335499519503811,0.805141634221052
84,0.7898305730059013,RF,0.7937376998865823,0.738088634982149,0.09583509513742072,0.6072115225818809,85,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.29462302746931623,0.21259933375877652,0.3351711091789255,0.8047709386966315
98,0.7874928612221587,RF,0.7897564740765408,0.7304870183393158,0.08843551797040171,0.606055193580787,99,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}",0.30412624196376387,0.22295791961736236,0.3444394605266202,0.8037191200329172
