,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,DT,1,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 2}","{'FNR': 0.1845246913580247, 'FNR_Leak': 0.16262365591397845, 'FNR_Clog': 0.19758431372549018, 'MCC_multiclass': 0.6663661606630481}","{'FPR': 0.25915838690824083, 'FPR_Leak': 0.044835202174651714, 'FPR_Clog': 0.11620020429009195, 'balanced_ACC': 0.7781584608668672}",0.5585138826204933,0.7838848920863309,0.8133227822122607,0.8143790556943685
1,DT,2,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 5}","{'FNR': 0.17705555555555552, 'FNR_Leak': 0.16266666666666665, 'FNR_Clog': 0.18560000000000007, 'MCC_multiclass': 0.6654860450282734}","{'FPR': 0.270718877849211, 'FPR_Leak': 0.04299694189602446, 'FPR_Clog': 0.12606230847803881, 'balanced_ACC': 0.7761127832976166}",0.5552798502036969,0.7833093525179856,0.8147173946419679,0.8194711044222304
2,DT,3,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 10}","{'FNR': 0.17108024691358026, 'FNR_Leak': 0.15208602150537634, 'FNR_Clog': 0.18240000000000006, 'MCC_multiclass': 0.6765848385733411}","{'FPR': 0.26196376388077147, 'FPR_Leak': 0.03822969758749575, 'FPR_Clog': 0.12608784473953016, 'balanced_ACC': 0.7834779946028242}",0.5704019332184386,0.7905035971223022,0.8205459964305915,0.8253899607785717
3,DT,4,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 15}","{'FNR': 0.1730740740740741, 'FNR_Leak': 0.1521290322580645, 'FNR_Clog': 0.1856156862745099, 'MCC_multiclass': 0.681987988736756}","{'FPR': 0.2510929281122152, 'FPR_Leak': 0.036017669045191984, 'FPR_Clog': 0.12158835546475996, 'balanced_ACC': 0.7879164989068554}",0.5786888417285223,0.7939568345323741,0.8226278634783618,0.8249578561250007
4,DT,5,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 20}","{'FNR': 0.1795246913580247, 'FNR_Leak': 0.15875268817204302, 'FNR_Clog': 0.19196862745098048, 'MCC_multiclass': 0.6810105552524991}","{'FPR': 0.24354178842782004, 'FPR_Leak': 0.0337920489296636, 'FPR_Clog': 0.11933605720122573, 'balanced_ACC': 0.7884667601070777}",0.5786583236765386,0.7933812949640288,0.821044946212697,0.8204414787390695
5,DT,6,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 2}","{'FNR': 0.1910432098765432, 'FNR_Leak': 0.15647311827956992, 'FNR_Clog': 0.21185882352941174, 'MCC_multiclass': 0.6529717725924913}","{'FPR': 0.27157218001168915, 'FPR_Leak': 0.043744478423377496, 'FPR_Clog': 0.12566394279877424, 'balanced_ACC': 0.7686923050558836}",0.5407908275117187,0.7749640287769785,0.8054980531502903,0.8072674359200476
6,DT,7,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 5}","{'FNR': 0.1895432098765432, 'FNR_Leak': 0.1736774193548387, 'FNR_Clog': 0.1992156862745098, 'MCC_multiclass': 0.654204066770302}","{'FPR': 0.26889538281706604, 'FPR_Leak': 0.03715256540944614, 'FPR_Clog': 0.1320020429009193, 'balanced_ACC': 0.7707807036531952}",0.5427809488305888,0.7769784172661871,0.8077511236484982,0.8092998999207187
7,DT,8,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 10}","{'FNR': 0.1899567901234568, 'FNR_Leak': 0.15892473118279568, 'FNR_Clog': 0.2086745098039216, 'MCC_multiclass': 0.6783662272513895}","{'FPR': 0.23322033898305083, 'FPR_Leak': 0.03160040774719674, 'FPR_Clog': 0.11530132788559755, 'balanced_ACC': 0.7884114354467461}",0.5782153727034276,0.7916546762589928,0.8173936302529955,0.8125441144144483
8,DT,9,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 15}","{'FNR': 0.21132716049382716, 'FNR_Leak': 0.1760430107526882, 'FNR_Clog': 0.23265882352941175, 'MCC_multiclass': 0.669488692182981}","{'FPR': 0.2162244301578025, 'FPR_Leak': 0.02167176350662589, 'FPR_Clog': 0.11623084780388152, 'balanced_ACC': 0.7862242046741852}",0.5705433186791778,0.7864748201438849,0.8099553704614586,0.7966695923752112
9,DT,10,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 20}","{'FNR': 0.20541975308641977, 'FNR_Leak': 0.16679569892473115, 'FNR_Clog': 0.22869019607843133, 'MCC_multiclass': 0.6664907012509873}","{'FPR': 0.22997077732320284, 'FPR_Leak': 0.023143051308188924, 'FPR_Clog': 0.12341675178753828, 'balanced_ACC': 0.7823047347951885}",0.5643833874687924,0.7841726618705037,0.809533746149011,0.800039880844797
