,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,RF,1,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2506790123456791, 'FNR_Leak': 0.20941935483870963, 'FNR_Clog': 0.27565490196078424, 'MCC_multiclass': 0.7219267569971702}","{'FPR': 0.09140853302162479, 'FPR_Leak': 0.01580699966021067, 'FPR_Clog': 0.04099080694586311, 'balanced_ACC': 0.828956227316348}",0.6523754990569768,0.8164028776978417,0.82454298363307,0.7774829717546452
1,RF,2,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2531913580246914, 'FNR_Leak': 0.210752688172043, 'FNR_Clog': 0.2788078431372548, 'MCC_multiclass': 0.7114105819436322}","{'FPR': 0.1036937463471654, 'FPR_Leak': 0.019843696907917093, 'FPR_Clog': 0.04414198161389173, 'balanced_ACC': 0.8215574478140715}",0.6379653996942979,0.8097841726618705,0.8189227971964809,0.7738005729115385
2,RF,3,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2521604938271605, 'FNR_Leak': 0.20941935483870966, 'FNR_Clog': 0.27802352941176467, 'MCC_multiclass': 0.7187236598890173}","{'FPR': 0.0941437755698422, 'FPR_Leak': 0.01580360176690452, 'FPR_Clog': 0.04279366700715014, 'balanced_ACC': 0.8268478653014987}",0.6482834940316087,0.814388489208633,0.8226141954544645,0.7758248589958201
3,RF,4,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2516851851851852, 'FNR_Leak': 0.20941935483870966, 'FNR_Clog': 0.27722352941176465, 'MCC_multiclass': 0.7131371298494067}","{'FPR': 0.10302746931618936, 'FPR_Leak': 0.019843696907917093, 'FPR_Clog': 0.04369254341164453, 'balanced_ACC': 0.8226436727493127}",0.6400066269842138,0.8109352517985612,0.8201355028912701,0.7752135880407787
4,RF,5,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2486851851851853, 'FNR_Leak': 0.20941935483870966, 'FNR_Clog': 0.2724235294117647, 'MCC_multiclass': 0.7196733278612528}","{'FPR': 0.09687901811805961, 'FPR_Leak': 0.01690791709140333, 'FPR_Clog': 0.04323799795709907, 'balanced_ACC': 0.8272178983483776}",0.6488595614850847,0.815251798561151,0.8240562387397283,0.7785780091588669
5,RF,6,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2467345679012346, 'FNR_Leak': 0.20808602150537633, 'FNR_Clog': 0.27007058823529406, 'MCC_multiclass': 0.7166042991473376}","{'FPR': 0.10368205727644654, 'FPR_Leak': 0.019840299014610943, 'FPR_Clog': 0.04414198161389172, 'balanced_ACC': 0.8247916874111594}",0.6438846430856462,0.8135251798561152,0.8231728923783252,0.7795146515535402
6,RF,7,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.24372222222222228, 'FNR_Leak': 0.2041290322580645, 'FNR_Clog': 0.2676549019607843, 'MCC_multiclass': 0.7218398325535427}","{'FPR': 0.0995675043834015, 'FPR_Leak': 0.01690451919809718, 'FPR_Clog': 0.04504085801838609, 'balanced_ACC': 0.8283551366971881}",0.6508735079775739,0.8169784172661871,0.8264120333806821,0.7826182833914234
7,RF,8,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.24722839506172847, 'FNR_Leak': 0.206752688172043, 'FNR_Clog': 0.27167058823529405, 'MCC_multiclass': 0.7167103707837549}","{'FPR': 0.10300409117475162, 'FPR_Leak': 0.02167855929323819, 'FPR_Clog': 0.04144024514811031, 'balanced_ACC': 0.8248837568817597}",0.6440075040751,0.8135251798561152,0.8230216574770057,0.779152504549513
8,RF,9,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.24571604938271602, 'FNR_Leak': 0.20279569892473115, 'FNR_Clog': 0.27165490196078435, 'MCC_multiclass': 0.7234021019930345}","{'FPR': 0.09549970777323204, 'FPR_Leak': 0.01654434250764526, 'FPR_Clog': 0.04278855975485188, 'balanced_ACC': 0.8293921214220258}",0.6533216401112726,0.8175539568345325,0.826395049136375,0.7813001404351556
9,RF,10,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2447345679012346, 'FNR_Leak': 0.206752688172043, 'FNR_Clog': 0.26768627450980387, 'MCC_multiclass': 0.718653559193351}","{'FPR': 0.10298071303331387, 'FPR_Leak': 0.020574243968739383, 'FPR_Clog': 0.042793667007150135, 'balanced_ACC': 0.8261423595327257}",0.6463521817293105,0.8149640287769784,0.8246436859041064,0.781345657393107
10,RF,11,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2621358024691358, 'FNR_Leak': 0.21741935483870967, 'FNR_Clog': 0.2892078431372549, 'MCC_multiclass': 0.7194367112969399}","{'FPR': 0.08252483927527762, 'FPR_Leak': 0.01580020387359837, 'FPR_Clog': 0.035122574055158326, 'balanced_ACC': 0.8276696791277933}",0.6510617501321397,0.8135251798561149,0.8199052021064215,0.7683662751806253
11,RF,12,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2626481481481482, 'FNR_Leak': 0.22404301075268812, 'FNR_Clog': 0.28602352941176473, 'MCC_multiclass': 0.7221912157640142}","{'FPR': 0.07849210987726477, 'FPR_Leak': 0.01763506625891947, 'FPR_Clog': 0.030183861082737486, 'balanced_ACC': 0.8294298709872934}",0.6546811309256374,0.8149640287769785,0.8210684861172658,0.7684591046643031
12,RF,13,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2611481481481482, 'FNR_Leak': 0.21879569892473114, 'FNR_Clog': 0.2868392156862745, 'MCC_multiclass': 0.7202560279292295}","{'FPR': 0.08251315020455875, 'FPR_Leak': 0.015433231396534148, 'FPR_Clog': 0.03556179775280898, 'balanced_ACC': 0.8281693508236465}",0.6520347027773222,0.8141007194244604,0.8206220226652253,0.7692572371602924
13,RF,14,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2661481481481482, 'FNR_Leak': 0.22537634408602145, 'FNR_Clog': 0.2908078431372549, 'MCC_multiclass': 0.7199265125617117}","{'FPR': 0.07780245470485096, 'FPR_Leak': 0.018005436629289842, 'FPR_Clog': 0.02927477017364658, 'balanced_ACC': 0.8280246985735004}",0.652203099329478,0.8132374100719424,0.8190071989216637,0.7654477993786228
14,RF,15,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2606481481481482, 'FNR_Leak': 0.22012903225806452, 'FNR_Clog': 0.2852235294117647, 'MCC_multiclass': 0.7209488979977604}","{'FPR': 0.08184687317358269, 'FPR_Leak': 0.015433231396534148, 'FPR_Clog': 0.03512257405515832, 'balanced_ACC': 0.8287524893391346}",0.653012408211803,0.8146762589928058,0.8211534283586129,0.7697920678214374
