,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,svm_poly,1,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 2}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
1,svm_poly,2,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 3}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
2,svm_poly,3,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 4}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
3,svm_poly,4,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 5}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
4,svm_poly,5,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 2}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
5,svm_poly,6,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 3}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
6,svm_poly,7,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 4}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
7,svm_poly,8,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 5}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
8,svm_poly,9,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 2}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
9,svm_poly,10,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 3}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
10,svm_poly,11,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 4}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
11,svm_poly,12,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 5}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4215827338129497,0.0,0.0
12,svm_poly,13,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 2}","{'FNR': 0.7786049382716049, 'FNR_Leak': 0.8197419354838709, 'FNR_Clog': 0.7537411764705881, 'MCC_multiclass': 0.24474363986301062}","{'FPR': 0.09355932203389829, 'FPR_Leak': 0.0, 'FPR_Clog': 0.06171603677221654, 'balanced_ACC': 0.5639178698472483}",0.17252696476792745,0.5102158273381295,0.3423100835732549,0.25775370389886
