,ACC,Algorithm,F1score,F2score,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,MCC_multiclass,FPR,FPR_Leak,FPR_Clog,balanced_ACC
62,0.8342446043165467,RF,0.8470769784829928,0.8155298621387773,0.6760525974349454,63,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.2039135802469136,0.1695913978494624,0.22465882352941183,0.7457317212328245,0.11324371712448862,0.01763846415222562,0.05316138917262511,0.841421351314299
152,0.833093525179856,RF,0.8450995096618391,0.8113497680414405,0.6753431100601908,153,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.20936419753086422,0.17492473118279572,0.23021176470588237,0.7443169769042629,0.10846288720046755,0.01580020387359837,0.05224208375893769,0.841086457634334
132,0.8325179856115108,RF,0.8442515226440974,0.8091579591729833,0.6748657324469646,133,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.21237037037037038,0.1815483870967742,0.231043137254902,0.743688848282935,0.1057510227936879,0.017274889568467552,0.0486414708886619,0.8409393034179709
154,0.8330935251798561,RF,0.845533135380314,0.8127677617677824,0.6745151076324173,155,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.20739506172839506,0.17088172043010755,0.229443137254902,0.7444219334135619,0.11119812974868497,0.0209548080190282,0.04774770173646578,0.8407034042614601
72,0.8316546762589928,RF,0.843527687154262,0.8091928564434057,0.6729631853203314,73,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.21184567901234566,0.17621505376344085,0.23339607843137258,0.7421830972231035,0.10843950905902983,0.01580020387359837,0.052242083758937685,0.8398574059643121
114,0.8316546762589928,RF,0.8435150061789447,0.8085794146416082,0.6729510762235859,115,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.21287037037037032,0.1801720430107527,0.2326117647058824,0.7424588560734113,0.10709526592635886,0.019847094801223243,0.046378958120531145,0.8400171818516354
144,0.833093525179856,RF,0.8466603295009224,0.8172642122959095,0.6723368943288558,145,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.20091975308641977,0.16954838709677422,0.21985882352941183,0.7435858884842452,0.12004675628287555,0.021321780496092426,0.05315117466802859,0.8395167453153524
150,0.8307913669064747,RF,0.8422504608562413,0.8065043908047156,0.6721736766229397,151,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.21535185185185185,0.18417204301075268,0.2341803921568628,0.7408421054827751,0.10571595558153128,0.012127081209650017,0.05493360572012256,0.8394660962833086
42,0.8319424460431655,RF,0.8444570876323735,0.8120528747943732,0.672115299839465,43,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.20788271604938263,0.17883870967741938,0.22539607843137255,0.742150691474655,0.11322033898305087,0.017274889568467552,0.05359039836567924,0.8394484724837834
140,0.8310791366906475,RF,0.843022959714548,0.8080567075257519,0.6719726237987966,141,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.21337654320987653,0.1842150537634409,0.2310274509803922,0.7411264253666883,0.10779661016949152,0.013234794427454979,0.054959141981613883,0.8394134233103159
112,0.8302158273381295,RF,0.8413922868694336,0.8040124709828069,0.6718293970065116,113,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.21883333333333332,0.18283870967741941,0.24061176470588233,0.7407583645750166,0.10234950321449446,0.018015630309208292,0.04548518896833503,0.839408581726086
