,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,KNN,1,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'auto'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
1,KNN,2,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'ball_tree'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
2,KNN,3,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'kd_tree'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
3,KNN,4,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'brute'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
4,KNN,5,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'auto'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
5,KNN,6,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'ball_tree'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
6,KNN,7,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'kd_tree'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
7,KNN,8,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'brute'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
8,KNN,9,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'auto'}","{'FNR': 0.17444444444444446, 'FNR_Leak': nan, 'FNR_Clog': 0.17444444444444446, 'MCC_multiclass': 0.18948648063245277}","{'FPR': 0.6773333333333332, 'FPR_Leak': 0.0, 'FPR_Clog': 0.6773333333333332, 'balanced_ACC': 0.574111111111111}",0.1894864806324528,0.6263736263736264,0.723217701115534,0.7803510026364566
9,KNN,10,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'ball_tree'}","{'FNR': 0.17444444444444446, 'FNR_Leak': nan, 'FNR_Clog': 0.17444444444444446, 'MCC_multiclass': 0.18948648063245277}","{'FPR': 0.6773333333333332, 'FPR_Leak': 0.0, 'FPR_Clog': 0.6773333333333332, 'balanced_ACC': 0.574111111111111}",0.1894864806324528,0.6263736263736264,0.723217701115534,0.7803510026364566
10,KNN,11,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'kd_tree'}","{'FNR': 0.17444444444444446, 'FNR_Leak': nan, 'FNR_Clog': 0.17444444444444446, 'MCC_multiclass': 0.18948648063245277}","{'FPR': 0.6773333333333332, 'FPR_Leak': 0.0, 'FPR_Clog': 0.6773333333333332, 'balanced_ACC': 0.574111111111111}",0.1894864806324528,0.6263736263736264,0.723217701115534,0.7803510026364566
11,KNN,12,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'brute'}","{'FNR': 0.17444444444444446, 'FNR_Leak': nan, 'FNR_Clog': 0.17444444444444446, 'MCC_multiclass': 0.18948648063245277}","{'FPR': 0.6773333333333332, 'FPR_Leak': 0.0, 'FPR_Clog': 0.6773333333333332, 'balanced_ACC': 0.574111111111111}",0.1894864806324528,0.6263736263736264,0.723217701115534,0.7803510026364566
12,KNN,13,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'auto'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
13,KNN,14,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'ball_tree'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
14,KNN,15,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'kd_tree'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
15,KNN,16,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'brute'}","{'FNR': 0.31777777777777777, 'FNR_Leak': nan, 'FNR_Clog': 0.31777777777777777, 'MCC_multiclass': 0.18071350075908993}","{'FPR': 0.5186666666666666, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5186666666666666, 'balanced_ACC': 0.5817777777777777}",0.18071350075908996,0.6013186813186814,0.6638595735190164,0.6724512417396662
