,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,RF,1,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.225, 'FNR_Leak': nan, 'FNR_Clog': 0.225, 'MCC_multiclass': 0.4146150322745293}","{'FPR': 0.37200000000000005, 'FPR_Leak': 0.0, 'FPR_Clog': 0.37200000000000005, 'balanced_ACC': 0.7014999999999999}",0.4146150322745292,0.7160439560439561,0.766065779078163,0.7689308942623374
1,RF,2,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.23055555555555557, 'FNR_Leak': nan, 'FNR_Clog': 0.23055555555555557, 'MCC_multiclass': 0.3875341305995759}","{'FPR': 0.3946666666666668, 'FPR_Leak': 0.0, 'FPR_Clog': 0.3946666666666668, 'balanced_ACC': 0.6873888888888889}",0.3875341305995759,0.7052747252747252,0.7582147601280728,0.7623906816106865
2,RF,3,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.23, 'FNR_Leak': nan, 'FNR_Clog': 0.23, 'MCC_multiclass': 0.4392123818907737}","{'FPR': 0.34, 'FPR_Leak': 0.0, 'FPR_Clog': 0.34, 'balanced_ACC': 0.715}",0.4392123818907737,0.7252747252747254,0.7703802417053192,0.7676096285460006
3,RF,4,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.22555555555555556, 'FNR_Leak': nan, 'FNR_Clog': 0.22555555555555556, 'MCC_multiclass': 0.40988441437089324}","{'FPR': 0.37866666666666676, 'FPR_Leak': 0.0, 'FPR_Clog': 0.37866666666666676, 'balanced_ACC': 0.6978888888888889}",0.40988441437089324,0.7140659340659341,0.764375652555219,0.7678996205623789
4,RF,5,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.235, 'FNR_Leak': nan, 'FNR_Clog': 0.235, 'MCC_multiclass': 0.45555891140212734}","{'FPR': 0.31733333333333336, 'FPR_Leak': 0.0, 'FPR_Clog': 0.31733333333333336, 'balanced_ACC': 0.7238333333333332}",0.4555589114021275,0.7309890109890109,0.7721807724439302,0.7656853115577974
5,RF,6,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.23555555555555557, 'FNR_Leak': nan, 'FNR_Clog': 0.23555555555555557, 'MCC_multiclass': 0.42293471493874607}","{'FPR': 0.34800000000000003, 'FPR_Leak': 0.0, 'FPR_Clog': 0.34800000000000003, 'balanced_ACC': 0.7082222222222224}",0.4229347149387462,0.7195604395604396,0.7661456658236845,0.763000955699165
6,RF,7,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2544444444444445, 'FNR_Leak': nan, 'FNR_Clog': 0.2544444444444445, 'MCC_multiclass': 0.45286887730311276}","{'FPR': 0.3026666666666667, 'FPR_Leak': 0.0, 'FPR_Clog': 0.3026666666666667, 'balanced_ACC': 0.7214444444444444}",0.45286887730311287,0.7252747252747254,0.762049119782866,0.749357335582838
7,RF,8,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.25, 'FNR_Leak': nan, 'FNR_Clog': 0.25, 'MCC_multiclass': 0.41402461756687103}","{'FPR': 0.34, 'FPR_Leak': 0.0, 'FPR_Clog': 0.34, 'balanced_ACC': 0.705}",0.41402461756687103,0.7138461538461539,0.759435360648983,0.751797038621842
8,RF,9,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2788888888888889, 'FNR_Leak': nan, 'FNR_Clog': 0.2788888888888889, 'MCC_multiclass': 0.442121109285364}","{'FPR': 0.28666666666666674, 'FPR_Leak': 0.0, 'FPR_Clog': 0.28666666666666674, 'balanced_ACC': 0.7172222222222223}",0.44212110928536413,0.7167032967032968,0.7494495061182367,0.7296394036273662
9,RF,10,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.27944444444444444, 'FNR_Leak': nan, 'FNR_Clog': 0.27944444444444444, 'MCC_multiclass': 0.3917592249341992}","{'FPR': 0.33466666666666667, 'FPR_Leak': 0.0, 'FPR_Clog': 0.33466666666666667, 'balanced_ACC': 0.6929444444444445}",0.39175922493419923,0.6982417582417584,0.7364679152976366,0.7245692187836521
