,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,svm_poly,1,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 2}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
1,svm_poly,2,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 3}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
2,svm_poly,3,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 4}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
3,svm_poly,4,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 5}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
4,svm_poly,5,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 2}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
5,svm_poly,6,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 3}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
6,svm_poly,7,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 4}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
7,svm_poly,8,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 5}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
8,svm_poly,9,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 2}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
9,svm_poly,10,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 3}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
10,svm_poly,11,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 4}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
11,svm_poly,12,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 5}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
12,svm_poly,13,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 2}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
13,svm_poly,14,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 3}","{'FNR': 0.0, 'FNR_Leak': nan, 'FNR_Clog': 0.0, 'MCC_multiclass': 0.0}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.5}",0.0,0.6032967032967033,0.7521927348014306,0.8833816425120773
14,svm_poly,15,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 4}","{'FNR': 0.14666666666666667, 'FNR_Leak': nan, 'FNR_Clog': 0.14666666666666667, 'MCC_multiclass': 0.07360538602320701}","{'FPR': 0.7760000000000001, 'FPR_Leak': 0.0, 'FPR_Clog': 0.7760000000000001, 'balanced_ACC': 0.5386666666666666}",0.07360538602320701,0.5951648351648352,0.7076768968456949,0.7820735634846545
15,svm_poly,16,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 5}","{'FNR': 0.0044444444444444444, 'FNR_Leak': nan, 'FNR_Clog': 0.0044444444444444444, 'MCC_multiclass': -0.00826898230594723}","{'FPR': 1.0, 'FPR_Leak': 0.0, 'FPR_Clog': 1.0, 'balanced_ACC': 0.49777777777777776}",-0.00826898230594723,0.6004395604395605,0.7499792960662528,0.8800347037365671
16,svm_poly,17,"{'kernel': 'poly', 'C': 0.1, 'gamma': 1, 'degree': 2}","{'FNR': 0.3922222222222222, 'FNR_Leak': nan, 'FNR_Clog': 0.3922222222222222, 'MCC_multiclass': 0.14384753768181516}","{'FPR': 0.4640000000000001, 'FPR_Leak': 0.0, 'FPR_Clog': 0.4640000000000001, 'balanced_ACC': 0.5718888888888888}",0.14384753768181516,0.5784615384615385,0.6302413991237521,0.6156287539772627
17,svm_poly,18,"{'kernel': 'poly', 'C': 0.1, 'gamma': 1, 'degree': 3}","{'FNR': 0.41555555555555557, 'FNR_Leak': nan, 'FNR_Clog': 0.41555555555555557, 'MCC_multiclass': -0.0993208187150719}","{'FPR': 0.6773333333333333, 'FPR_Leak': 0.0, 'FPR_Clog': 0.6773333333333333, 'balanced_ACC': 0.4535555555555555}",-0.0993208187150719,0.4782417582417583,0.564046587055875,0.574130208046198
18,svm_poly,19,"{'kernel': 'poly', 'C': 0.1, 'gamma': 1, 'degree': 4}","{'FNR': 0.2683333333333333, 'FNR_Leak': nan, 'FNR_Clog': 0.2683333333333333, 'MCC_multiclass': 0.1565374667078552}","{'FPR': 0.5906666666666669, 'FPR_Leak': 0.0, 'FPR_Clog': 0.5906666666666669, 'balanced_ACC': 0.5705}",0.1565374667078552,0.6013186813186814,0.6798425722883927,0.7075684709284521
