,ACC,Algorithm,F1score,F2score,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,MCC_multiclass,FPR,FPR_Leak,FPR_Clog,balanced_ACC
136,0.7307692307692308,RF,0.7653929922846332,0.750386530028899,0.46511734355715023,137,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.255,,0.255,0.46511734355715023,0.28800000000000003,0.0,0.28800000000000003,0.7284999999999999
156,0.7307692307692308,RF,0.7653929922846332,0.750386530028899,0.46511734355715023,157,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.255,,0.255,0.46511734355715023,0.28800000000000003,0.0,0.28800000000000003,0.7284999999999999
116,0.7307692307692308,RF,0.7653929922846332,0.750386530028899,0.46511734355715023,117,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.255,,0.255,0.46511734355715023,0.28800000000000003,0.0,0.28800000000000003,0.7284999999999999
96,0.7307692307692308,RF,0.7653929922846332,0.750386530028899,0.46511734355715023,97,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.255,,0.255,0.46511734355715023,0.28800000000000003,0.0,0.28800000000000003,0.7284999999999999
24,0.7340659340659341,RF,0.7750565894373945,0.7695062939408898,0.4606910901634953,25,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.23055555555555557,,0.23055555555555557,0.46069109016349513,0.31733333333333336,0.0,0.31733333333333336,0.7260555555555556
44,0.7340659340659341,RF,0.7750565894373945,0.7695062939408898,0.4606910901634953,45,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.23055555555555557,,0.23055555555555557,0.46069109016349513,0.31733333333333336,0.0,0.31733333333333336,0.7260555555555556
64,0.7340659340659341,RF,0.7750565894373945,0.7695062939408898,0.4606910901634953,65,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.23055555555555557,,0.23055555555555557,0.46069109016349513,0.31733333333333336,0.0,0.31733333333333336,0.7260555555555556
104,0.7340659340659341,RF,0.7756093438725018,0.7701387528533439,0.46043841176687017,105,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.23,,0.23,0.4604384117668701,0.31733333333333336,0.0,0.31733333333333336,0.7263333333333333
144,0.7340659340659341,RF,0.7756093438725018,0.7701387528533439,0.46043841176687017,145,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.23,,0.23,0.4604384117668701,0.31733333333333336,0.0,0.31733333333333336,0.7263333333333333
124,0.7340659340659341,RF,0.7756093438725018,0.7701387528533439,0.46043841176687017,125,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.23,,0.23,0.4604384117668701,0.31733333333333336,0.0,0.31733333333333336,0.7263333333333333
76,0.7281318681318681,RF,0.7654776912114373,0.7535385202518277,0.45646654405560677,77,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.25,,0.25,0.45646654405560666,0.3026666666666667,0.0,0.3026666666666667,0.7236666666666666
36,0.7281318681318681,RF,0.7654776912114373,0.7535385202518277,0.45646654405560677,37,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.25,,0.25,0.45646654405560666,0.3026666666666667,0.0,0.3026666666666667,0.7236666666666666
56,0.7281318681318681,RF,0.7654776912114373,0.7535385202518277,0.45646654405560677,57,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.25,,0.25,0.45646654405560666,0.3026666666666667,0.0,0.3026666666666667,0.7236666666666666
4,0.7309890109890109,RF,0.7721807724439302,0.7656853115577974,0.4555589114021275,5,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.235,,0.235,0.45555891140212734,0.31733333333333336,0.0,0.31733333333333336,0.7238333333333332
84,0.7309890109890109,RF,0.7721807724439302,0.7656853115577974,0.4555589114021275,85,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.235,,0.235,0.4555589114021275,0.31733333333333336,0.0,0.31733333333333336,0.7238333333333332
148,0.7224175824175826,RF,0.755217258833358,0.737667724149966,0.4532673566610146,149,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 20}",0.2694444444444445,,0.2694444444444445,0.4532673566610144,0.28666666666666674,0.0,0.28666666666666674,0.7219444444444446
88,0.7224175824175826,RF,0.755217258833358,0.737667724149966,0.4532673566610146,89,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}",0.2694444444444445,,0.2694444444444445,0.4532673566610144,0.28666666666666674,0.0,0.28666666666666674,0.7219444444444446
128,0.7224175824175826,RF,0.755217258833358,0.737667724149966,0.4532673566610146,129,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 10}",0.2694444444444445,,0.2694444444444445,0.4532673566610144,0.28666666666666674,0.0,0.28666666666666674,0.7219444444444446
108,0.7224175824175826,RF,0.755217258833358,0.737667724149966,0.4532673566610146,109,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.2694444444444445,,0.2694444444444445,0.4532673566610144,0.28666666666666674,0.0,0.28666666666666674,0.7219444444444446
26,0.7252747252747254,RF,0.762049119782866,0.749357335582838,0.45286887730311287,27,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.2544444444444445,,0.2544444444444445,0.45286887730311276,0.3026666666666667,0.0,0.3026666666666667,0.7214444444444444
46,0.7252747252747254,RF,0.762049119782866,0.749357335582838,0.45286887730311287,47,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.2544444444444445,,0.2544444444444445,0.45286887730311276,0.3026666666666667,0.0,0.3026666666666667,0.7214444444444444
6,0.7252747252747254,RF,0.762049119782866,0.749357335582838,0.45286887730311287,7,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.2544444444444445,,0.2544444444444445,0.45286887730311276,0.3026666666666667,0.0,0.3026666666666667,0.7214444444444444
66,0.7252747252747254,RF,0.762049119782866,0.749357335582838,0.45286887730311287,67,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.2544444444444445,,0.2544444444444445,0.45286887730311276,0.3026666666666667,0.0,0.3026666666666667,0.7214444444444444
94,0.7279120879120881,RF,0.7677116093400924,0.7577243075013155,0.4519435766742508,95,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.245,,0.245,0.4519435766742508,0.30933333333333335,0.0,0.30933333333333335,0.7228333333333333
106,0.725054945054945,RF,0.7615216472553935,0.748844352399765,0.45187624281548167,107,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.255,,0.255,0.45187624281548155,0.3026666666666667,0.0,0.3026666666666667,0.7211666666666666
126,0.725054945054945,RF,0.7615216472553935,0.748844352399765,0.45187624281548167,127,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.255,,0.255,0.45187624281548155,0.3026666666666667,0.0,0.3026666666666667,0.7211666666666666
86,0.725054945054945,RF,0.7615216472553935,0.748844352399765,0.45187624281548167,87,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.255,,0.255,0.45187624281548155,0.3026666666666667,0.0,0.3026666666666667,0.7211666666666666
146,0.725054945054945,RF,0.7615216472553935,0.748844352399765,0.45187624281548167,147,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.255,,0.255,0.45187624281548155,0.3026666666666667,0.0,0.3026666666666667,0.7211666666666666
16,0.7252747252747254,RF,0.762049119782866,0.7490850789562811,0.45170586662135503,17,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.255,,0.255,0.4517058666213549,0.3026666666666667,0.0,0.3026666666666667,0.7211666666666666
62,0.7309890109890111,RF,0.7756777993248584,0.7754075179530594,0.45039267798701826,63,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.22055555555555556,,0.22055555555555556,0.45039267798701815,0.34,0.0,0.34,0.7197222222222222
22,0.7309890109890111,RF,0.7756777993248584,0.7754075179530594,0.45039267798701826,23,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.22055555555555556,,0.22055555555555556,0.45039267798701815,0.34,0.0,0.34,0.7197222222222222
42,0.7309890109890111,RF,0.7756777993248584,0.7754075179530594,0.45039267798701826,43,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.22055555555555556,,0.22055555555555556,0.45039267798701815,0.34,0.0,0.34,0.7197222222222222
154,0.725054945054945,RF,0.766081357239252,0.7570933210295074,0.4446115129876449,155,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.245,,0.245,0.4446115129876449,0.31733333333333336,0.0,0.31733333333333336,0.7188333333333332
114,0.725054945054945,RF,0.766081357239252,0.7570933210295074,0.4446115129876449,115,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.245,,0.245,0.4446115129876449,0.31733333333333336,0.0,0.31733333333333336,0.7188333333333332
134,0.725054945054945,RF,0.766081357239252,0.7570933210295074,0.4446115129876449,135,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.245,,0.245,0.4446115129876449,0.31733333333333336,0.0,0.31733333333333336,0.7188333333333332
14,0.725054945054945,RF,0.7658138256652189,0.7569352233917914,0.44425701869163814,15,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.245,,0.245,0.44425701869163814,0.31733333333333336,0.0,0.31733333333333336,0.7188333333333334
10,0.7279120879120881,RF,0.7729516702767476,0.7716177257119924,0.44388789208406926,11,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}",0.225,,0.225,0.4438878920840692,0.3413333333333334,0.0,0.3413333333333334,0.7168333333333332
68,0.7167032967032968,RF,0.7494495061182367,0.7296394036273662,0.44212110928536413,69,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 20}",0.2788888888888889,,0.2788888888888889,0.442121109285364,0.28666666666666674,0.0,0.28666666666666674,0.7172222222222223
28,0.7167032967032968,RF,0.7494495061182367,0.7296394036273662,0.44212110928536413,29,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.2788888888888889,,0.2788888888888889,0.442121109285364,0.28666666666666674,0.0,0.28666666666666674,0.7172222222222223
8,0.7167032967032968,RF,0.7494495061182367,0.7296394036273662,0.44212110928536413,9,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}",0.2788888888888889,,0.2788888888888889,0.442121109285364,0.28666666666666674,0.0,0.28666666666666674,0.7172222222222223
48,0.7167032967032968,RF,0.7494495061182367,0.7296394036273662,0.44212110928536413,49,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 10}",0.2788888888888889,,0.2788888888888889,0.442121109285364,0.28666666666666674,0.0,0.28666666666666674,0.7172222222222223
78,0.7164835164835165,RF,0.7475608856228052,0.7257530258407818,0.4420768947256478,79,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 20}",0.2838888888888889,,0.2838888888888889,0.4420768947256478,0.28,0.0,0.28,0.7180555555555556
58,0.7164835164835165,RF,0.7475608856228052,0.7257530258407818,0.4420768947256478,59,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 10}",0.2838888888888889,,0.2838888888888889,0.4420768947256478,0.28,0.0,0.28,0.7180555555555556
18,0.7164835164835165,RF,0.7475608856228052,0.7257530258407818,0.4420768947256478,19,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}",0.2838888888888889,,0.2838888888888889,0.4420768947256478,0.28,0.0,0.28,0.7180555555555556
38,0.7164835164835165,RF,0.7475608856228052,0.7257530258407818,0.4420768947256478,39,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.2838888888888889,,0.2838888888888889,0.4420768947256478,0.28,0.0,0.28,0.7180555555555556
145,0.7283516483516483,RF,0.7748364122977126,0.7748951228915267,0.43981381517883816,146,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 20}",0.22166666666666668,,0.22166666666666668,0.43981381517883816,0.34800000000000003,0.0,0.34800000000000003,0.7151666666666668
125,0.7283516483516483,RF,0.7748364122977126,0.7748951228915267,0.43981381517883816,126,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 10}",0.22166666666666668,,0.22166666666666668,0.43981381517883816,0.34800000000000003,0.0,0.34800000000000003,0.7151666666666668
105,0.7283516483516483,RF,0.7748364122977126,0.7748951228915267,0.43981381517883816,106,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 8}",0.22166666666666668,,0.22166666666666668,0.43981381517883816,0.34800000000000003,0.0,0.34800000000000003,0.7151666666666668
2,0.7252747252747254,RF,0.7703802417053192,0.7676096285460006,0.4392123818907737,3,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.23,,0.23,0.4392123818907737,0.34,0.0,0.34,0.715
12,0.725054945054945,RF,0.7699158945629534,0.7675903643420332,0.4389032482028466,13,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.23,,0.23,0.4389032482028466,0.3400000000000001,0.0,0.3400000000000001,0.715
54,0.7221978021978024,RF,0.7641763987646342,0.7561600295933417,0.4378757201190753,55,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.245,,0.245,0.4378757201190753,0.32400000000000007,0.0,0.32400000000000007,0.7155
34,0.7221978021978024,RF,0.7641763987646342,0.7561600295933417,0.4378757201190753,35,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.245,,0.245,0.4378757201190753,0.32400000000000007,0.0,0.32400000000000007,0.7155
74,0.7221978021978024,RF,0.7641763987646342,0.7561600295933417,0.4378757201190753,75,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.245,,0.245,0.4378757201190753,0.32400000000000007,0.0,0.32400000000000007,0.7155
