,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,DT,1,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 2}","{'FNR': 0.2121840296139609, 'FNR_Leak': 0.1543157894736842, 'FNR_Clog': 0.2388261351052049, 'MCC_multiclass': 0.6045320025112622}","{'FPR': 0.3075555555555556, 'FPR_Leak': 0.04315047021943574, 'FPR_Clog': 0.15600961538461539, 'balanced_ACC': 0.7401302074152416}",0.483519948596717,0.7476071239640275,0.782963887152054,0.7855126770835811
1,DT,2,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 5}","{'FNR': 0.2102908514013749, 'FNR_Leak': 0.1428421052631579, 'FNR_Clog': 0.24174972314507198, 'MCC_multiclass': 0.6132152913090185}","{'FPR': 0.2951111111111111, 'FPR_Leak': 0.03212643678160918, 'FPR_Clog': 0.16216346153846153, 'balanced_ACC': 0.7472990187437568}",0.4969702258307911,0.7539763710104037,0.7876988176289121,0.7886173430289056
2,DT,3,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 10}","{'FNR': 0.20505552617662606, 'FNR_Leak': 0.14431578947368423, 'FNR_Clog': 0.23324473975636764, 'MCC_multiclass': 0.6108235992284841}","{'FPR': 0.30577777777777776, 'FPR_Leak': 0.030303030303030293, 'FPR_Clog': 0.17207692307692313, 'balanced_ACC': 0.7445833480227981}",0.49249855204912196,0.7524951507670604,0.7879550866256476,0.7918770283682635
3,DT,4,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 15}","{'FNR': 0.21292437863564245, 'FNR_Leak': 0.1425263157894737, 'FNR_Clog': 0.24553709856035438, 'MCC_multiclass': 0.6102521336664851}","{'FPR': 0.29688888888888887, 'FPR_Leak': 0.028918495297805644, 'FPR_Clog': 0.16774038461538468, 'balanced_ACC': 0.7450933662377343}",0.49337926872358423,0.7517086933521425,0.7852226763622009,0.7859371889691802
4,DT,5,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 20}","{'FNR': 0.21031200423056579, 'FNR_Leak': 0.15073684210526317, 'FNR_Clog': 0.2378516057585825, 'MCC_multiclass': 0.6108235849914917}","{'FPR': 0.2995555555555556, 'FPR_Leak': 0.02708463949843259, 'FPR_Clog': 0.17209615384615387, 'balanced_ACC': 0.7450662201069391}",0.49441347219370485,0.7520789984129783,0.7860479446512727,0.7877229078429053
5,DT,6,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 2}","{'FNR': 0.22709677419354843, 'FNR_Leak': 0.16694736842105265, 'FNR_Clog': 0.2550387596899225, 'MCC_multiclass': 0.5896683041457937}","{'FPR': 0.3066666666666666, 'FPR_Leak': 0.03944618599791013, 'FPR_Clog': 0.16041346153846156, 'balanced_ACC': 0.7331182795698925}",0.46760291153780303,0.7393651913242815,0.7737823232038497,0.7730170339453899
6,DT,7,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 5}","{'FNR': 0.24007403490216808, 'FNR_Leak': 0.20642105263157895, 'FNR_Clog': 0.25576965669988927, 'MCC_multiclass': 0.5682431765267003}","{'FPR': 0.31911111111111107, 'FPR_Leak': 0.03487460815047022, 'FPR_Clog': 0.1752403846153846, 'balanced_ACC': 0.7204074269933602}",0.4422633856371402,0.7266125903720685,0.7620563089905208,0.760483940340289
7,DT,8,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 10}","{'FNR': 0.22780539397144367, 'FNR_Leak': 0.2011578947368421, 'FNR_Clog': 0.2398006644518272, 'MCC_multiclass': 0.5801739675483397}","{'FPR': 0.31999999999999995, 'FPR_Leak': 0.03349529780564263, 'FPR_Clog': 0.1776923076923077, 'balanced_ACC': 0.7260973030142782}",0.4555711720062392,0.7333521424792806,0.7695356842203228,0.7706769164832997
8,DT,9,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 15}","{'FNR': 0.2413749338974088, 'FNR_Leak': 0.1936842105263158, 'FNR_Clog': 0.2634772978959025, 'MCC_multiclass': 0.5920391956606654}","{'FPR': 0.28088888888888885, 'FPR_Leak': 0.022962382445141066, 'FPR_Clog': 0.16475, 'balanced_ACC': 0.7388680886068513}",0.4768375313331364,0.7419573267501322,0.7722374277945667,0.7637560499605762
9,DT,10,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 20}","{'FNR': 0.2505129561078794, 'FNR_Leak': 0.21831578947368416, 'FNR_Clog': 0.26516057585825026, 'MCC_multiclass': 0.5700281420040791}","{'FPR': 0.304, 'FPR_Leak': 0.02618077324973876, 'FPR_Clog': 0.1763269230769231, 'balanced_ACC': 0.7227435219460603}",0.44831048731429796,0.7269899488626343,0.7594233585209988,0.7526714069321804
