,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,RF,1,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.30738233738762566, 'FNR_Leak': 0.22410526315789472, 'FNR_Clog': 0.34586932447397567, 'MCC_multiclass': 0.6600917011480564}","{'FPR': 0.10755555555555558, 'FPR_Leak': 0.014237199582027167, 'FPR_Clog': 0.055682692307692315, 'balanced_ACC': 0.7925310535284095}",0.5839779110581153,0.7768118497619467,0.7809976819183878,0.7250680479979456
1,RF,2,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2950713907985192, 'FNR_Leak': 0.20968421052631572, 'FNR_Clog': 0.3344407530454042, 'MCC_multiclass': 0.6617809409472654}","{'FPR': 0.12088888888888892, 'FPR_Leak': 0.02524555903866248, 'FPR_Clog': 0.050125, 'balanced_ACC': 0.792019860156296}",0.5815379283973746,0.7783142302944808,0.785254274717105,0.7346136499969718
2,RF,3,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.3002749867794817, 'FNR_Leak': 0.21799999999999997, 'FNR_Clog': 0.33820598006644514, 'MCC_multiclass': 0.6664192916169392}","{'FPR': 0.10755555555555557, 'FPR_Leak': 0.015611285266457678, 'FPR_Clog': 0.05381730769230769, 'balanced_ACC': 0.7960847288324814}",0.5906939182090514,0.780923999294657,0.785928332824826,0.731430270644784
3,RF,4,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.30024325753569536, 'FNR_Leak': 0.20968421052631572, 'FNR_Clog': 0.34203765227021043, 'MCC_multiclass': 0.653567796817705}","{'FPR': 0.12711111111111112, 'FPR_Leak': 0.027089864158829666, 'FPR_Clog': 0.05197115384615385, 'balanced_ACC': 0.7863228156765969}",0.5709592625031756,0.7727067536589667,0.779439278003954,0.7291039005989641
4,RF,5,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.3048122686409307, 'FNR_Leak': 0.21999999999999997, 'FNR_Clog': 0.3439867109634551, 'MCC_multiclass': 0.6601487397552609}","{'FPR': 0.11111111111111115, 'FPR_Leak': 0.017445141065830713, 'FPR_Clog': 0.053788461538461535, 'balanced_ACC': 0.792038310123979}",0.5828689709056871,0.7768118497619467,0.781472000665575,0.7268853370039584
5,RF,6,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.29700687466948705, 'FNR_Leak': 0.2117894736842105, 'FNR_Clog': 0.33632336655592476, 'MCC_multiclass': 0.6558219755475403}","{'FPR': 0.12711111111111115, 'FPR_Leak': 0.02524555903866248, 'FPR_Clog': 0.05444230769230769, 'balanced_ACC': 0.7879410071097012}",0.5739600213753638,0.7745723858226061,0.7819089948551252,0.7320987568750249
6,RF,7,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2990058170280275, 'FNR_Leak': 0.21999999999999997, 'FNR_Clog': 0.3354595791805094, 'MCC_multiclass': 0.6653625113954936}","{'FPR': 0.11022222222222226, 'FPR_Leak': 0.016985370950888184, 'FPR_Clog': 0.05377884615384616, 'balanced_ACC': 0.7953859803748753}",0.5891667520257843,0.7805501675189561,0.7857057666977135,0.7321600938141667
7,RF,8,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2911898466419883, 'FNR_Leak': 0.2117894736842105, 'FNR_Clog': 0.327796234772979, 'MCC_multiclass': 0.6560251979431153}","{'FPR': 0.13333333333333333, 'FPR_Leak': 0.02661964472309299, 'FPR_Clog': 0.05689423076923077, 'balanced_ACC': 0.7877384100123392}",0.5730422678636962,0.775320049374008,0.7840020927497419,0.7366241098397395
8,RF,9,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.3002749867794817, 'FNR_Leak': 0.21799999999999997, 'FNR_Clog': 0.3382945736434108, 'MCC_multiclass': 0.6557330349763763}","{'FPR': 0.12177777777777782, 'FPR_Leak': 0.01927899686520376, 'FPR_Clog': 0.05872115384615386, 'balanced_ACC': 0.7889736177213703}",0.5760048053546128,0.7749426908834421,0.7812255383566621,0.7297694868909416
9,RF,10,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2912004230565838, 'FNR_Leak': 0.20768421052631575, 'FNR_Clog': 0.32967884828349947, 'MCC_multiclass': 0.6578778450928777}","{'FPR': 0.13066666666666665, 'FPR_Leak': 0.026165099268547536, 'FPR_Clog': 0.05565384615384616, 'balanced_ACC': 0.7890664551383746}",0.5754390748475341,0.7764415447011109,0.7848274345431979,0.7369508866902262
