,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,svm_poly,1,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 2}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
1,svm_poly,2,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 3}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
2,svm_poly,3,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 4}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
3,svm_poly,4,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 5}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
4,svm_poly,5,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 2}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
5,svm_poly,6,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 3}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
6,svm_poly,7,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 4}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
7,svm_poly,8,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 5}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
8,svm_poly,9,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 2}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
9,svm_poly,10,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 3}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
10,svm_poly,11,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 4}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
11,svm_poly,12,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 5}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
12,svm_poly,13,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 2}","{'FNR': 0.6432892649391856, 'FNR_Leak': 0.6831578947368422, 'FNR_Clog': 0.6246068660022146, 'MCC_multiclass': 0.316866865440086}","{'FPR': 0.14933333333333335, 'FPR_Leak': 0.0, 'FPR_Clog': 0.10405769230769231, 'balanced_ACC': 0.6036887008637407}",0.2313603936900831,0.5648033856462704,0.48578515397240196,0.39902449286404135
13,svm_poly,14,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 3}","{'FNR': 0.26335272342675836, 'FNR_Leak': 0.1709473684210526, 'FNR_Clog': 0.3062901439645626, 'MCC_multiclass': 0.6417054848617845}","{'FPR': 0.1831111111111111, 'FPR_Leak': 0.0, 'FPR_Clog': 0.12767307692307692, 'balanced_ACC': 0.7767680827310653}",0.5519441250465005,0.77042849585611,0.7869807034271272,0.7552380144812928
14,svm_poly,15,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 4}","{'FNR': 0.629095716552089, 'FNR_Leak': 0.6241052631578947, 'FNR_Clog': 0.631362126245847, 'MCC_multiclass': 0.3690327626302981}","{'FPR': 0.11555555555555554, 'FPR_Leak': 0.009174503657262276, 'FPR_Clog': 0.06813461538461539, 'balanced_ACC': 0.6276743639461777}",0.2871925663208095,0.5872438723329219,0.5088067169429208,0.41589572980728284
