,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,DT,1,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 2}","{'FNR': 0.18602469135802469, 'FNR_Leak': 0.15363440860215055, 'FNR_Clog': 0.20560000000000006, 'MCC_multiclass': 0.6687712815429174}","{'FPR': 0.25387492694330804, 'FPR_Leak': 0.04812776078831125, 'FPR_Clog': 0.10859039836567926, 'balanced_ACC': 0.7800501908493337}",0.5613686128751453,0.785323741007194,0.8142153924779876,0.8138808118137143
1,DT,2,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 5}","{'FNR': 0.18555555555555553, 'FNR_Leak': 0.1549677419354839, 'FNR_Clog': 0.2039686274509804, 'MCC_multiclass': 0.6666199904056346}","{'FPR': 0.25796610169491524, 'FPR_Leak': 0.044821610601427114, 'FPR_Clog': 0.11535240040858018, 'balanced_ACC': 0.7782391713747646}",0.5585624126235936,0.783884892086331,0.8131991060421617,0.8137083418394165
2,DT,3,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 10}","{'FNR': 0.18645679012345673, 'FNR_Leak': 0.15488172043010753, 'FNR_Clog': 0.20544313725490196, 'MCC_multiclass': 0.6678581699591968}","{'FPR': 0.25386323787258913, 'FPR_Leak': 0.035657492354740056, 'FPR_Clog': 0.12392747701736467, 'balanced_ACC': 0.7798399860019771}",0.5618444861199665,0.7850359712230215,0.8135414484347245,0.8132530665816722
3,DT,4,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 15}","{'FNR': 0.19146913580246913, 'FNR_Leak': 0.16154838709677422, 'FNR_Clog': 0.20942745098039223, 'MCC_multiclass': 0.6653220736036103}","{'FPR': 0.2510812390414962, 'FPR_Leak': 0.03160040774719673, 'FPR_Clog': 0.12702757916241064, 'balanced_ACC': 0.7787248125780173}",0.559702011850221,0.7833093525179856,0.811292384168556,0.8092407638246839
4,DT,5,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 20}","{'FNR': 0.19992592592592595, 'FNR_Leak': 0.17096774193548392, 'FNR_Clog': 0.21742745098039218, 'MCC_multiclass': 0.6678548161701721}","{'FPR': 0.2347282291057861, 'FPR_Leak': 0.02865783214407068, 'FPR_Clog': 0.1198212461695608, 'balanced_ACC': 0.7826729224841442}",0.5652065848707845,0.7853237410071943,0.8113048049037833,0.8041846121511494
5,DT,6,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 2}","{'FNR': 0.19399999999999995, 'FNR_Leak': 0.17475268817204304, 'FNR_Clog': 0.20561568627450988, 'MCC_multiclass': 0.640805359609249}","{'FPR': 0.2852483927527762, 'FPR_Leak': 0.04446483180428135, 'FPR_Clog': 0.13373340143003062, 'balanced_ACC': 0.760375803623612}",0.5241413709230623,0.7674820143884894,0.7998012550680782,0.8032955406514606
6,DT,7,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 5}","{'FNR': 0.19440740740740733, 'FNR_Leak': 0.15350537634408604, 'FNR_Clog': 0.21888627450980394, 'MCC_multiclass': 0.6359201248527069}","{'FPR': 0.2913617767387493, 'FPR_Leak': 0.029408766564729873, 'FPR_Clog': 0.156317671092952, 'balanced_ACC': 0.7571154079269218}",0.5177617742476834,0.7646043165467625,0.7978269471667363,0.8022700870069719
7,DT,8,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 10}","{'FNR': 0.21288271604938275, 'FNR_Leak': 0.16283870967741934, 'FNR_Clog': 0.24301176470588237, 'MCC_multiclass': 0.6396552394556043}","{'FPR': 0.2606779661016949, 'FPR_Leak': 0.02941216445803602, 'FPR_Clog': 0.13598569969356483, 'balanced_ACC': 0.7632196589244612}",0.5270232122179214,0.7669064748201438,0.7957584658010864,0.7901903533146267
8,DT,9,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 15}","{'FNR': 0.2108024691358025, 'FNR_Leak': 0.15479569892473122, 'FNR_Clog': 0.24447058823529416, 'MCC_multiclass': 0.6602546096355054}","{'FPR': 0.23116306253652832, 'FPR_Leak': 0.02426775399252463, 'FPR_Clog': 0.12294688457609805, 'balanced_ACC': 0.7790172341638345}",0.5565797783783576,0.7804316546762591,0.8058508817774601,0.7954474871117067
9,DT,10,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 20}","{'FNR': 0.21030864197530863, 'FNR_Leak': 0.17746236559139786, 'FNR_Clog': 0.23013333333333338, 'MCC_multiclass': 0.6563342364671138}","{'FPR': 0.23864406779661018, 'FPR_Leak': 0.022776078831124705, 'FPR_Clog': 0.1297242083758938, 'balanced_ACC': 0.7755236451140405}",0.551499382525549,0.7775539568345323,0.8036266431727881,0.7946771591491077
10,DT,11,"{'criterion': 'entropy', 'splitter': 'best', 'min_samples_split': 2}","{'FNR': 0.18700617283950616, 'FNR_Leak': 0.14963440860215052, 'FNR_Clog': 0.20949019607843142, 'MCC_multiclass': 0.6668560065750914}","{'FPR': 0.2565517241379311, 'FPR_Leak': 0.04961603805640502, 'FPR_Clog': 0.10851889683350359, 'balanced_ACC': 0.7782210515112815}",0.5589957210043488,0.7835971223021584,0.8124756371765852,0.8124814605233865
11,DT,12,"{'criterion': 'entropy', 'splitter': 'best', 'min_samples_split': 5}","{'FNR': 0.18801234567901237, 'FNR_Leak': 0.1510537634408602, 'FNR_Clog': 0.21022745098039222, 'MCC_multiclass': 0.6658496369691248}","{'FPR': 0.25587375803623613, 'FPR_Leak': 0.043727488956846756, 'FPR_Clog': 0.11528089887640448, 'balanced_ACC': 0.7780569481423757}",0.5582063371703511,0.7833093525179856,0.8122601234469397,0.8118133296028788
12,DT,13,"{'criterion': 'entropy', 'splitter': 'best', 'min_samples_split': 10}","{'FNR': 0.18450000000000003, 'FNR_Leak': 0.14034408602150536, 'FNR_Clog': 0.21109019607843138, 'MCC_multiclass': 0.6670653374952574}","{'FPR': 0.2591350087668031, 'FPR_Leak': 0.04113829425756031, 'FPR_Clog': 0.12066394279877425, 'balanced_ACC': 0.7781824956165987}",0.5592681517346947,0.783884892086331,0.8132454298960468,0.8142680765809257
