,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,DT,1,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 2}","{'FNR': 0.22455843469063982, 'FNR_Leak': 0.19326315789473686, 'FNR_Clog': 0.23873754152823917, 'MCC_multiclass': 0.5940992827176865}","{'FPR': 0.3031111111111111, 'FPR_Leak': 0.04132183908045978, 'FPR_Clog': 0.15539423076923076, 'balanced_ACC': 0.7361652270991245}",0.4730226074446118,0.7423417386704284,0.7771386269532201,0.7759010664922101
1,DT,2,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 5}","{'FNR': 0.2264939185616076, 'FNR_Leak': 0.18547368421052632, 'FNR_Clog': 0.2454263565891473, 'MCC_multiclass': 0.6017407451259151}","{'FPR': 0.2888888888888889, 'FPR_Leak': 0.03397074190177638, 'FPR_Clog': 0.15539423076923078, 'balanced_ACC': 0.7423085962747519}",0.48514692759313766,0.7472227120437311,0.7798775359424251,0.7756863102778587
2,DT,3,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 10}","{'FNR': 0.2198942358540454, 'FNR_Leak': 0.18126315789473688, 'FNR_Clog': 0.23782945736434108, 'MCC_multiclass': 0.6074457329271903}","{'FPR': 0.2888888888888889, 'FPR_Leak': 0.027544409613375124, 'FPR_Clog': 0.1640480769230769, 'balanced_ACC': 0.7456084376285327}",0.4929646290490553,0.7510033503791219,0.7832595621394627,0.7809642232221979
3,DT,4,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 15}","{'FNR': 0.20119513484928603, 'FNR_Leak': 0.15873684210526318, 'FNR_Clog': 0.22075304540420812, 'MCC_multiclass': 0.6365168782329896}","{'FPR': 0.272, 'FPR_Leak': 0.025710553814002085, 'FPR_Clog': 0.15482692307692308, 'balanced_ACC': 0.7634024325753568}",0.5292644561861377,0.7689402221830365,0.7998675692604118,0.7988185924229088
4,DT,5,"{'criterion': 'gini', 'splitter': 'best', 'min_samples_split': 20}","{'FNR': 0.18764674775251186, 'FNR_Leak': 0.15452631578947368, 'FNR_Clog': 0.2027021040974529, 'MCC_multiclass': 0.6509488145722202}","{'FPR': 0.26844444444444443, 'FPR_Leak': 0.023416927899686513, 'FPR_Clog': 0.15547115384615384, 'balanced_ACC': 0.7719544039015218}",0.5469403937265445,0.77828601657556,0.8090936796916206,0.8107223115232435
5,DT,6,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 2}","{'FNR': 0.22065573770491798, 'FNR_Leak': 0.1876842105263158, 'FNR_Clog': 0.235968992248062, 'MCC_multiclass': 0.5737289017408562}","{'FPR': 0.3422222222222222, 'FPR_Leak': 0.04817659352142111, 'FPR_Clog': 0.17328846153846153, 'balanced_ACC': 0.7185610200364299}",0.4424193594431602,0.7281502380532533,0.7676097311699148,0.7742668982278909
6,DT,7,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 5}","{'FNR': 0.20381808566895823, 'FNR_Leak': 0.1613684210526316, 'FNR_Clog': 0.2236766334440753, 'MCC_multiclass': 0.6254632502872358}","{'FPR': 0.28444444444444433, 'FPR_Leak': 0.030752351097178676, 'FPR_Clog': 0.15679807692307693, 'balanced_ACC': 0.7558687349432985}",0.5145734916578181,0.7621795097866336,0.7940726494961402,0.7950228924307869
7,DT,8,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 10}","{'FNR': 0.23169751454257007, 'FNR_Leak': 0.20021052631578948, 'FNR_Clog': 0.24660022148394245, 'MCC_multiclass': 0.5964001932873102}","{'FPR': 0.2871111111111111, 'FPR_Leak': 0.023871473354231974, 'FPR_Clog': 0.16781730769230768, 'balanced_ACC': 0.7405956871731594}",0.48103598344242465,0.7449374008111443,0.7767570231234724,0.7714088108859863
8,DT,9,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 15}","{'FNR': 0.23234267583289264, 'FNR_Leak': 0.19168421052631576, 'FNR_Clog': 0.2511627906976744, 'MCC_multiclass': 0.6063928760425149}","{'FPR': 0.27377777777777773, 'FPR_Leak': 0.02475444096133751, 'FPR_Clog': 0.15714423076923079, 'balanced_ACC': 0.7469397731946649}",0.49530376507207385,0.7502168929642039,0.779254388636671,0.7717447364734042
9,DT,10,"{'criterion': 'gini', 'splitter': 'random', 'min_samples_split': 20}","{'FNR': 0.24017979904812267, 'FNR_Leak': 0.23105263157894737, 'FNR_Clog': 0.24471760797342185, 'MCC_multiclass': 0.6126811289590072}","{'FPR': 0.2506666666666667, 'FPR_Leak': 0.01193312434691745, 'FPR_Clog': 0.15855769230769232, 'balanced_ACC': 0.7545767671426052}",0.5087318238938334,0.7554293775348263,0.7810803939958048,0.7676623915228626
