,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,KNN,1,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'auto'}","{'FNR': 0.21087255420412476, 'FNR_Leak': 0.18568421052631576, 'FNR_Clog': 0.22274640088593575, 'MCC_multiclass': 0.6222364472640453}","{'FPR': 0.2782222222222222, 'FPR_Leak': 0.03212643678160918, 'FPR_Clog': 0.1504903846153846, 'balanced_ACC': 0.7554526117868267}",0.5121770069806264,0.7607229765473461,0.7915196183257018,0.789849439830896
1,KNN,2,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'ball_tree'}","{'FNR': 0.21087255420412476, 'FNR_Leak': 0.18568421052631576, 'FNR_Clog': 0.22274640088593575, 'MCC_multiclass': 0.6222364472640453}","{'FPR': 0.2782222222222222, 'FPR_Leak': 0.03212643678160918, 'FPR_Clog': 0.1504903846153846, 'balanced_ACC': 0.7554526117868267}",0.5121770069806264,0.7607229765473461,0.7915196183257018,0.789849439830896
2,KNN,3,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'kd_tree'}","{'FNR': 0.21087255420412476, 'FNR_Leak': 0.18568421052631576, 'FNR_Clog': 0.22274640088593575, 'MCC_multiclass': 0.6222364472640453}","{'FPR': 0.2782222222222222, 'FPR_Leak': 0.03212643678160918, 'FPR_Clog': 0.1504903846153846, 'balanced_ACC': 0.7554526117868267}",0.5121770069806264,0.7607229765473461,0.7915196183257018,0.789849439830896
3,KNN,4,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'brute'}","{'FNR': 0.21087255420412476, 'FNR_Leak': 0.18568421052631576, 'FNR_Clog': 0.22274640088593575, 'MCC_multiclass': 0.6222364472640453}","{'FPR': 0.2782222222222222, 'FPR_Leak': 0.03212643678160918, 'FPR_Clog': 0.1504903846153846, 'balanced_ACC': 0.7554526117868267}",0.5121770069806264,0.7607229765473461,0.7915196183257018,0.789849439830896
4,KNN,5,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'auto'}","{'FNR': 0.21087255420412476, 'FNR_Leak': 0.18568421052631576, 'FNR_Clog': 0.22274640088593575, 'MCC_multiclass': 0.6222364472640453}","{'FPR': 0.2782222222222222, 'FPR_Leak': 0.03212643678160918, 'FPR_Clog': 0.1504903846153846, 'balanced_ACC': 0.7554526117868267}",0.5121770069806264,0.7607229765473461,0.7915196183257018,0.789849439830896
5,KNN,6,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'ball_tree'}","{'FNR': 0.21087255420412476, 'FNR_Leak': 0.18568421052631576, 'FNR_Clog': 0.22274640088593575, 'MCC_multiclass': 0.6222364472640453}","{'FPR': 0.2782222222222222, 'FPR_Leak': 0.03212643678160918, 'FPR_Clog': 0.1504903846153846, 'balanced_ACC': 0.7554526117868267}",0.5121770069806264,0.7607229765473461,0.7915196183257018,0.789849439830896
6,KNN,7,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'kd_tree'}","{'FNR': 0.21087255420412476, 'FNR_Leak': 0.18568421052631576, 'FNR_Clog': 0.22274640088593575, 'MCC_multiclass': 0.6222364472640453}","{'FPR': 0.2782222222222222, 'FPR_Leak': 0.03212643678160918, 'FPR_Clog': 0.1504903846153846, 'balanced_ACC': 0.7554526117868267}",0.5121770069806264,0.7607229765473461,0.7915196183257018,0.789849439830896
7,KNN,8,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'brute'}","{'FNR': 0.21087255420412476, 'FNR_Leak': 0.18568421052631576, 'FNR_Clog': 0.22274640088593575, 'MCC_multiclass': 0.6222364472640453}","{'FPR': 0.2782222222222222, 'FPR_Leak': 0.03212643678160918, 'FPR_Clog': 0.1504903846153846, 'balanced_ACC': 0.7554526117868267}",0.5121770069806264,0.7607229765473461,0.7915196183257018,0.789849439830896
8,KNN,9,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'auto'}","{'FNR': 0.17734531993654148, 'FNR_Leak': 0.17557894736842108, 'FNR_Clog': 0.17816168327796233, 'MCC_multiclass': 0.5968613319143937}","{'FPR': 0.3671111111111111, 'FPR_Leak': 0.0031974921630094043, 'FPR_Clog': 0.2514230769230769, 'balanced_ACC': 0.7277717844761739}",0.4677629215271807,0.7426767765826132,0.7870561348519314,0.8077601243351453
9,KNN,10,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'ball_tree'}","{'FNR': 0.17734531993654148, 'FNR_Leak': 0.17557894736842108, 'FNR_Clog': 0.17816168327796233, 'MCC_multiclass': 0.5968613319143937}","{'FPR': 0.3671111111111111, 'FPR_Leak': 0.0031974921630094043, 'FPR_Clog': 0.2514230769230769, 'balanced_ACC': 0.7277717844761739}",0.4677629215271807,0.7426767765826132,0.7870561348519314,0.8077601243351453
