,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,RF,1,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2725330512956108, 'FNR_Leak': 0.21652631578947368, 'FNR_Clog': 0.29853820598006636, 'MCC_multiclass': 0.679632657077388}","{'FPR': 0.11822222222222224, 'FPR_Leak': 0.01101358411703239, 'FPR_Clog': 0.06748076923076923, 'balanced_ACC': 0.8046223632410835}",0.6054743848147819,0.792509257626521,0.8013046677720587,0.7549299267019771
1,RF,2,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2738127974616605, 'FNR_Leak': 0.2230526315789474, 'FNR_Clog': 0.2975193798449612, 'MCC_multiclass': 0.6682760078310929}","{'FPR': 0.13155555555555556, 'FPR_Leak': 0.015146290491118073, 'FPR_Clog': 0.07122115384615385, 'balanced_ACC': 0.7973158234913919}",0.5903013542821525,0.7861435372950097,0.7960755043266425,0.7522899199742257
2,RF,3,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.27446853516657854, 'FNR_Leak': 0.2186315789473684, 'FNR_Clog': 0.300376522702104, 'MCC_multiclass': 0.6785081862282246}","{'FPR': 0.11733333333333336, 'FPR_Leak': 0.009639498432601878, 'FPR_Clog': 0.06872115384615386, 'balanced_ACC': 0.8040990657500441}",0.6045896360974443,0.7917651207899842,0.8003164275815,0.7533250288116617
3,RF,4,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.27186673717609733, 'FNR_Leak': 0.2210526315789474, 'FNR_Clog': 0.2956146179401993, 'MCC_multiclass': 0.6699191221600512}","{'FPR': 0.13155555555555556, 'FPR_Leak': 0.014686520376175545, 'FPR_Clog': 0.07184615384615385, 'balanced_ACC': 0.7982888536341736}",0.5922515387614247,0.7872685593369778,0.7972982881445553,0.7539656708502143
4,RF,5,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2699206768905341, 'FNR_Leak': 0.20842105263157895, 'FNR_Clog': 0.29847176079734217, 'MCC_multiclass': 0.6813621095963103}","{'FPR': 0.11911111111111115, 'FPR_Leak': 0.010553814002089861, 'FPR_Clog': 0.06870192307692308, 'balanced_ACC': 0.8054841059991774}",0.6072135441410398,0.7936413330982189,0.802535223487767,0.7570341041351639
5,RF,6,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.26601797990481224, 'FNR_Leak': 0.21263157894736842, 'FNR_Clog': 0.2908970099667773, 'MCC_multiclass': 0.6696791813537392}","{'FPR': 0.1395555555555556, 'FPR_Leak': 0.018808777429467086, 'FPR_Clog': 0.07184615384615385, 'balanced_ACC': 0.7972132322698162}",0.5897871462557253,0.7872685593369775,0.7988563899009001,0.7582897957934993
6,RF,7,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2706081438392385, 'FNR_Leak': 0.21052631578947367, 'FNR_Clog': 0.298516057585825, 'MCC_multiclass': 0.672697125765019}","{'FPR': 0.1297777777777778, 'FPR_Leak': 0.012852664576802501, 'FPR_Clog': 0.07305769230769231, 'balanced_ACC': 0.7998070391914918}",0.5956319334827261,0.7887568330100511,0.7986643462269123,0.7552179606716372
7,RF,8,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.26796404019037545, 'FNR_Leak': 0.2147368421052632, 'FNR_Clog': 0.2927574750830564, 'MCC_multiclass': 0.666922966744441}","{'FPR': 0.14133333333333337, 'FPR_Leak': 0.021102403343782657, 'FPR_Clog': 0.06999999999999999, 'balanced_ACC': 0.7953513132381456}",0.5861721106517122,0.7853958737436078,0.7968703589499567,0.7563173769098236
8,RF,9,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}","{'FNR': 0.2660602855631941, 'FNR_Leak': 0.20431578947368423, 'FNR_Clog': 0.29475083056478396, 'MCC_multiclass': 0.6705517823307799}","{'FPR': 0.13866666666666666, 'FPR_Leak': 0.012852664576802507, 'FPR_Clog': 0.07921153846153847, 'balanced_ACC': 0.7976365238850696}",0.5917745032726252,0.7876388643978135,0.7987071886575424,0.758062158986255
9,RF,10,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}","{'FNR': 0.2699418297197249, 'FNR_Leak': 0.21484210526315795, 'FNR_Clog': 0.2956367663344407, 'MCC_multiclass': 0.6605605501838184}","{'FPR': 0.14755555555555555, 'FPR_Leak': 0.02110240334378265, 'FPR_Clog': 0.07429807692307694, 'balanced_ACC': 0.7912513073623599}",0.5778770506187545,0.7816399224122731,0.7937891050793406,0.7539586610894089
