,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,svm_poly,1,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 2}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
1,svm_poly,2,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 3}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
2,svm_poly,3,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 4}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
3,svm_poly,4,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.0001, 'degree': 5}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
4,svm_poly,5,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 2}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
5,svm_poly,6,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 3}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
6,svm_poly,7,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 4}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
7,svm_poly,8,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.001, 'degree': 5}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
8,svm_poly,9,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 2}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
9,svm_poly,10,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 3}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
10,svm_poly,11,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 4}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
11,svm_poly,12,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.01, 'degree': 5}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
12,svm_poly,13,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 2}","{'FNR': 0.7546800634584876, 'FNR_Leak': 0.8059999999999999, 'FNR_Clog': 0.7307419712070873, 'MCC_multiclass': 0.22995548897978638}","{'FPR': 0.12266666666666667, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0853653846153846, 'balanced_ACC': 0.561326634937423}",0.15604994826088722,0.5116381590548404,0.3672365701644739,0.28280794579613977
13,svm_poly,14,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 3}","{'FNR': 0.5048439978847171, 'FNR_Leak': 0.48347368421052644, 'FNR_Clog': 0.5147951273532668, 'MCC_multiclass': 0.5295114794259621}","{'FPR': 0.06844444444444443, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0477403846153846, 'balanced_ACC': 0.7133557788354195}",0.4622316871081359,0.6789948862634456,0.6343662460508175,0.5414488249855487
14,svm_poly,15,"{'kernel': 'poly', 'C': 0.1, 'gamma': 0.1, 'degree': 4}","{'FNR': 0.8206980433632998, 'FNR_Leak': 0.8650526315789474, 'FNR_Clog': 0.7998671096345517, 'MCC_multiclass': 0.22659245761902963}","{'FPR': 0.06488888888888888, 'FPR_Leak': 0.0004597701149425287, 'FPR_Clog': 0.04450961538461538, 'balanced_ACC': 0.5572065338739056}",0.17277694555292297,0.49778522306471523,0.2919679361117491,0.21197726734188976
