,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,svm_rbf,1,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.0001}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
1,svm_rbf,2,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.001}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
2,svm_rbf,3,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.01}","{'FNR': 0.34882072977260703, 'FNR_Leak': 0.27357894736842103, 'FNR_Clog': 0.3838316722037653, 'MCC_multiclass': 0.6479208614672968}","{'FPR': 0.07555555555555554, 'FPR_Leak': 0.0, 'FPR_Clog': 0.05262500000000001, 'balanced_ACC': 0.7878118573359187}",0.5793236589797146,0.7663092928936694,0.7628949515986221,0.6915485195411591
3,svm_rbf,4,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1}","{'FNR': 0.3689264939185617, 'FNR_Leak': 0.30631578947368415, 'FNR_Clog': 0.3980509413067553, 'MCC_multiclass': 0.6457530020806788}","{'FPR': 0.057777777777777775, 'FPR_Leak': 0.0, 'FPR_Clog': 0.04023076923076923, 'balanced_ACC': 0.7866478641518303}",0.5809525058033254,0.7621795097866336,0.753851243653964,0.6749679950053725
4,svm_rbf,5,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 1}","{'FNR': 0.5404336329984136, 'FNR_Leak': 0.42463157894736847, 'FNR_Clog': 0.594330011074197, 'MCC_multiclass': 0.5386974455349481}","{'FPR': 0.029333333333333333, 'FPR_Leak': 0.0, 'FPR_Clog': 0.02041346153846154, 'balanced_ACC': 0.7151165168341265}",0.47504409674562903,0.6749180038793863,0.6187201921641056,0.5120765811544208
5,svm_rbf,6,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 2}","{'FNR': 0.9928609201480698, 'FNR_Leak': 0.9917894736842104, 'FNR_Clog': 0.9933554817275746, 'MCC_multiclass': 0.037455606752614216}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5035695399259651}",0.032722661009655415,0.4254805149003703,0.013969534050179208,0.008874733578415202
6,svm_rbf,7,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 3}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
7,svm_rbf,8,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 4}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
8,svm_rbf,9,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.0001}","{'FNR': 1.0, 'FNR_Leak': 1.0, 'FNR_Clog': 1.0, 'MCC_multiclass': 0.0}","{'FPR': 0.0, 'FPR_Leak': 0.0, 'FPR_Clog': 0.0, 'balanced_ACC': 0.5}",0.0,0.4213542585081996,0.0,0.0
9,svm_rbf,10,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}","{'FNR': 0.3184452670544685, 'FNR_Leak': 0.21642105263157896, 'FNR_Clog': 0.36578073089701, 'MCC_multiclass': 0.6274659496017294}","{'FPR': 0.13244444444444445, 'FPR_Leak': 0.0, 'FPR_Clog': 0.09225, 'balanced_ACC': 0.7745551442505436}",0.545713514606394,0.759936519132428,0.7660822756913437,0.7129061077926693
10,svm_rbf,11,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}","{'FNR': 0.3611422527763088, 'FNR_Leak': 0.2774736842105263, 'FNR_Clog': 0.3999557032115171, 'MCC_multiclass': 0.661947749334484}","{'FPR': 0.04711111111111111, 'FPR_Leak': 0.0, 'FPR_Clog': 0.032817307692307694, 'balanced_ACC': 0.7958733180562899}",0.5994691610833466,0.7711691059777819,0.7631344427626927,0.683304335427687
11,svm_rbf,12,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.1}","{'FNR': 0.3164463246959281, 'FNR_Leak': 0.22842105263157894, 'FNR_Clog': 0.3572535991140643, 'MCC_multiclass': 0.658608529216146}","{'FPR': 0.096, 'FPR_Leak': 0.0, 'FPR_Clog': 0.06683653846153847, 'balanced_ACC': 0.793776837652036}",0.5866157665491322,0.7764344912713806,0.7787434528933767,0.7184644591332362
12,svm_rbf,13,"{'kernel': 'rbf', 'C': 1, 'gamma': 1}","{'FNR': 0.21030142781597036, 'FNR_Leak': 0.17957894736842112, 'FNR_Clog': 0.22454042081949058, 'MCC_multiclass': 0.6777413474218048}","{'FPR': 0.19377777777777777, 'FPR_Leak': 0.003197492163009405, 'FPR_Clog': 0.13065384615384615, 'balanced_ACC': 0.7979603972031257}",0.592065203441232,0.796656674307882,0.8175662294995419,0.800388398093489
13,svm_rbf,14,"{'kernel': 'rbf', 'C': 1, 'gamma': 2}","{'FNR': 0.18503437334743517, 'FNR_Leak': 0.17147368421052633, 'FNR_Clog': 0.19142857142857136, 'MCC_multiclass': 0.663792735064523}","{'FPR': 0.24888888888888894, 'FPR_Leak': 0.0027377220480668757, 'FPR_Clog': 0.169625, 'balanced_ACC': 0.783038368881838}",0.5672852546302267,0.7880444366073002,0.8161888358901705,0.8152552358195042
14,svm_rbf,15,"{'kernel': 'rbf', 'C': 1, 'gamma': 3}","{'FNR': 0.17081967213114752, 'FNR_Leak': 0.1714736842105263, 'FNR_Clog': 0.1705647840531561, 'MCC_multiclass': 0.6507137321778782}","{'FPR': 0.29066666666666663, 'FPR_Leak': 0.002277951933124347, 'FPR_Clog': 0.1993942307692308, 'balanced_ACC': 0.769256830601093}",0.5453502757919545,0.7786492682066654,0.8121190699427712,0.8220402162487902
15,svm_rbf,16,"{'kernel': 'rbf', 'C': 1, 'gamma': 4}","{'FNR': 0.16564780539397145, 'FNR_Leak': 0.16736842105263153, 'FNR_Clog': 0.16491694352159467, 'MCC_multiclass': 0.6393576410354938}","{'FPR': 0.3164444444444443, 'FPR_Leak': 0.0013688610240334379, 'FPR_Clog': 0.21861538461538466, 'balanced_ACC': 0.7589538750807919}",0.5275743270507541,0.7707811673426203,0.8077971936091916,0.8233332173632882
16,svm_rbf,17,"{'kernel': 'rbf', 'C': 10, 'gamma': 0.0001}","{'FNR': 0.3145637228979375, 'FNR_Leak': 0.21231578947368415, 'FNR_Clog': 0.36203765227021045, 'MCC_multiclass': 0.6246208211584551}","{'FPR': 0.14044444444444446, 'FPR_Leak': 0.0, 'FPR_Clog': 0.09781730769230772, 'balanced_ACC': 0.772495916328809}",0.5410981963653939,0.7588079703755952,0.766357116674794,0.7155444579059023
17,svm_rbf,18,"{'kernel': 'rbf', 'C': 10, 'gamma': 0.001}","{'FNR': 0.30352194606028554, 'FNR_Leak': 0.18747368421052632, 'FNR_Clog': 0.35727574750830565, 'MCC_multiclass': 0.6726034966888451}","{'FPR': 0.09244444444444445, 'FPR_Leak': 0.0, 'FPR_Clog': 0.06436538461538462, 'balanced_ACC': 0.8020168047476349}",0.6015370250156941,0.7854064538882031,0.7889922559169784,0.7306011320877324
18,svm_rbf,19,"{'kernel': 'rbf', 'C': 10, 'gamma': 0.01}","{'FNR': 0.3080698043363299, 'FNR_Leak': 0.2076842105263158, 'FNR_Clog': 0.3545736434108527, 'MCC_multiclass': 0.6685971748705443}","{'FPR': 0.09244444444444441, 'FPR_Leak': 0.0, 'FPR_Clog': 0.06434615384615384, 'balanced_ACC': 0.7997428756096128}",0.5975600114482742,0.7827931581731616,0.7860673153167901,0.7265857300319355
19,svm_rbf,20,"{'kernel': 'rbf', 'C': 10, 'gamma': 0.1}","{'FNR': 0.22193548387096768, 'FNR_Leak': 0.18147368421052626, 'FNR_Clog': 0.24073089700996678, 'MCC_multiclass': 0.7041052704404948}","{'FPR': 0.14222222222222222, 'FPR_Leak': 0.006886102403343781, 'FPR_Clog': 0.08976923076923075, 'balanced_ACC': 0.817921146953405}",0.629461999284343,0.8116416857697055,0.8267525875923072,0.7966554797746427
20,svm_rbf,21,"{'kernel': 'rbf', 'C': 10, 'gamma': 1}","{'FNR': 0.1876044420941301, 'FNR_Leak': 0.1469473684210526, 'FNR_Clog': 0.2066445182724252, 'MCC_multiclass': 0.6586711479491248}","{'FPR': 0.25599999999999995, 'FPR_Leak': 0.019268547544409608, 'FPR_Clog': 0.15233653846153847, 'balanced_ACC': 0.7781977789529351}",0.558640868958232,0.7835619820137542,0.812452464064267,0.8121161215033134
21,svm_rbf,22,"{'kernel': 'rbf', 'C': 10, 'gamma': 2}","{'FNR': 0.18111052353252244, 'FNR_Leak': 0.1509473684210526, 'FNR_Clog': 0.19519379844961235, 'MCC_multiclass': 0.6456050512688563}","{'FPR': 0.2844444444444444, 'FPR_Leak': 0.012382445141065831, 'FPR_Clog': 0.18139423076923078, 'balanced_ACC': 0.7672225160115166}",0.5390656881329647,0.7753341562334686,0.8084032722888369,0.8143794076825047
22,svm_rbf,23,"{'kernel': 'rbf', 'C': 10, 'gamma': 3}","{'FNR': 0.17145425700687464, 'FNR_Leak': 0.15726315789473685, 'FNR_Clog': 0.17816168327796233, 'MCC_multiclass': 0.6358312628123648}","{'FPR': 0.3137777777777777, 'FPR_Leak': 0.008249738766980146, 'FPR_Clog': 0.2073942307692308, 'balanced_ACC': 0.7573839826076737}",0.523048995365317,0.7685558102627402,0.8055119811865843,0.8189383603373542
23,svm_rbf,24,"{'kernel': 'rbf', 'C': 10, 'gamma': 4}","{'FNR': 0.16499206768905336, 'FNR_Leak': 0.16747368421052633, 'FNR_Clog': 0.1639424141749723, 'MCC_multiclass': 0.6332546876742339}","{'FPR': 0.3279999999999999, 'FPR_Leak': 0.006415882967607105, 'FPR_Clog': 0.21981730769230773, 'balanced_ACC': 0.7535039661554735}",0.5176866930567031,0.7662987127490741,0.8051866662201287,0.8225857913267732
24,svm_rbf,25,"{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001}","{'FNR': 0.2821470121628768, 'FNR_Leak': 0.16505263157894734, 'FNR_Clog': 0.33643410852713174, 'MCC_multiclass': 0.6688890758078767}","{'FPR': 0.12000000000000002, 'FPR_Leak': 0.0, 'FPR_Clog': 0.08357692307692309, 'balanced_ACC': 0.7989264939185616}",0.5930967851752283,0.7861576441544702,0.7940864266886666,0.7463105697886632
25,svm_rbf,26,"{'kernel': 'rbf', 'C': 100, 'gamma': 0.001}","{'FNR': 0.32361713379164464, 'FNR_Leak': 0.20157894736842105, 'FNR_Clog': 0.3801993355481727, 'MCC_multiclass': 0.6704949049513399}","{'FPR': 0.07466666666666665, 'FPR_Leak': 0.0, 'FPR_Clog': 0.052048076923076926, 'balanced_ACC': 0.8008580997708441}",0.6019215614637887,0.7812696173514372,0.7812860648952644,0.7146970289076456
26,svm_rbf,27,"{'kernel': 'rbf', 'C': 100, 'gamma': 0.01}","{'FNR': 0.263416181914331, 'FNR_Leak': 0.16505263157894742, 'FNR_Clog': 0.30897009966777395, 'MCC_multiclass': 0.6824599090770375}","{'FPR': 0.12355555555555554, 'FPR_Leak': 0.0013740856844305122, 'FPR_Clog': 0.08418269230769232, 'balanced_ACC': 0.8065141312650568}",0.6075191615267999,0.7955140186915888,0.80615240405027,0.7627245738529942
27,svm_rbf,28,"{'kernel': 'rbf', 'C': 100, 'gamma': 0.1}","{'FNR': 0.1805076679005817, 'FNR_Leak': 0.12652631578947368, 'FNR_Clog': 0.20560354374307865, 'MCC_multiclass': 0.6937262325493468}","{'FPR': 0.2133333333333334, 'FPR_Leak': 0.023401253918495294, 'FPR_Clog': 0.117, 'balanced_ACC': 0.8030794993830425}",0.6049301134522611,0.8056392170692999,0.829820590410351,0.8234134967005516
28,svm_rbf,29,"{'kernel': 'rbf', 'C': 100, 'gamma': 1}","{'FNR': 0.18952934955050235, 'FNR_Leak': 0.14473684210526316, 'FNR_Clog': 0.21045404208194898, 'MCC_multiclass': 0.6523074537770321}","{'FPR': 0.2631111111111111, 'FPR_Leak': 0.01972831765935214, 'FPR_Clog': 0.15665384615384617, 'balanced_ACC': 0.7736797696691933}",0.5499963416821356,0.7794498324810439,0.8093096891390222,0.8096840319044485
29,svm_rbf,30,"{'kernel': 'rbf', 'C': 100, 'gamma': 2}","{'FNR': 0.18305658381808565, 'FNR_Leak': 0.15305263157894736, 'FNR_Clog': 0.19709856035437426, 'MCC_multiclass': 0.6453490382332113}","{'FPR': 0.28177777777777774, 'FPR_Leak': 0.012382445141065831, 'FPR_Clog': 0.17952884615384615, 'balanced_ACC': 0.7675828192020683}",0.5392283279177509,0.7753376829483336,0.8080536331788608,0.8130908692232398
30,svm_rbf,31,"{'kernel': 'rbf', 'C': 100, 'gamma': 3}","{'FNR': 0.17145425700687464, 'FNR_Leak': 0.15726315789473685, 'FNR_Clog': 0.17816168327796233, 'MCC_multiclass': 0.6358312628123648}","{'FPR': 0.3137777777777777, 'FPR_Leak': 0.008249738766980146, 'FPR_Clog': 0.2073942307692308, 'balanced_ACC': 0.7573839826076737}",0.523048995365317,0.7685558102627402,0.8055119811865843,0.8189383603373542
31,svm_rbf,32,"{'kernel': 'rbf', 'C': 100, 'gamma': 4}","{'FNR': 0.16499206768905336, 'FNR_Leak': 0.16747368421052633, 'FNR_Clog': 0.1639424141749723, 'MCC_multiclass': 0.6332546876742339}","{'FPR': 0.3279999999999999, 'FPR_Leak': 0.006415882967607105, 'FPR_Clog': 0.21981730769230773, 'balanced_ACC': 0.7535039661554735}",0.5176866930567031,0.7662987127490741,0.8051866662201287,0.8225857913267732
