,ACC,Algorithm,F1score,F2score,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,MCC_multiclass,FPR,FPR_Leak,FPR_Clog,balanced_ACC
19,0.8116416857697055,svm_rbf,0.8267525875923072,0.7966554797746427,0.629461999284343,20,"{'kernel': 'rbf', 'C': 10, 'gamma': 0.1}",0.22193548387096768,0.18147368421052626,0.24073089700996678,0.7041052704404948,0.14222222222222222,0.006886102403343781,0.08976923076923075,0.817921146953405
132,0.8071274907423736,RF,0.8204774921808764,0.786831269208284,0.6239523063690378,133,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.2336329984135378,0.2062105263157895,0.24642303433001103,0.6975421058675557,0.1368888888888889,0.004582027168234065,0.08920192307692307,0.8147390563487865
152,0.8075013225180744,RF,0.8219028389709383,0.7914156143579422,0.6228703560751384,153,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.22714965626652556,0.19810526315789473,0.24073089700996675,0.6976183090561731,0.1448888888888889,0.004587251828631139,0.09475961538461539,0.8139807274222929
50,0.8056286369247045,RF,0.8183941790042145,0.7828277098942092,0.6219864723700776,51,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.23881544156530932,0.2,0.2568770764119601,0.6954755639209916,0.13333333333333333,0.004122257053291536,0.08733653846153847,0.8139256125506784
60,0.8074942690883442,RF,0.8223706644663558,0.79288325507625,0.6214489120603494,61,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.22524590163934427,0.20242105263157895,0.235968992248062,0.6965218205859607,0.14755555555555555,0.0027481713688610244,0.09908653846153849,0.8135992714025501
154,0.8063798271909716,RF,0.8206008309116366,0.7893071195081403,0.6209847705972599,155,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.22976203067160228,0.19200000000000003,0.247375415282392,0.6963041701951993,0.14400000000000002,0.006880877742946709,0.09104807692307693,0.8131189846641989
52,0.8056251102098395,RF,0.8196519744941086,0.7869695259548506,0.6200175883967064,53,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.23297726070861977,0.204,0.24642303433001103,0.6949571045289042,0.14133333333333334,0.005961337513061651,0.09045192307692307,0.8128447029790234
70,0.8052477517192734,RF,0.8187810973675061,0.7854334894620909,0.6196557022616118,71,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.2349338974087784,0.19810526315789473,0.2521151716500553,0.6940636540166127,0.13955555555555557,0.003207941483803553,0.09288461538461538,0.8127552735178329
74,0.8056215834949745,RF,0.8199307017848977,0.7886383878993393,0.6194840913484594,75,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.23041776837652034,0.19410526315789475,0.2473532668881506,0.6952664587698218,0.1448888888888889,0.008709508881922673,0.08919230769230771,0.8123466713672954
142,0.806358666901781,RF,0.8216412535190055,0.7929267323700395,0.6192072168741791,143,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.22462189317821257,0.1858947368421053,0.24261351052048724,0.6955460758308066,0.1511111111111111,0.005047021943573668,0.09850000000000002,0.8121334978553381
