RTK_Num,Longitude,Latitude,z,Label,Plot,row_Num,,,,,,,,
2,661898.649,3493773.242,141.72,Clog,A,2,,,,,12,Leak,,Leak
3,661899.541,3493766.352,141.352,Clog,A,2,,,,,90,startClog,,StartClog
4,661913.371,3493593.879,131.166,Clog,A,2,,,,,30,startLeak,,StartLeak
5,661904.449,3493593.889,130.751,Leak,A,4,,,,,,TEST,,
6,661902.415,3493614.942,131.518,Leak,A,4,,,,,,,,
7,661899.102,3493659.229,133.402,Leak,A,4,,,,,,,,
8,661898.221,3493670.167,134.43,Leak,A,4,,,,,,,,
9,661891.201,3493759.655,140.919,Clog,A,4,,,,,,,,
10,661880.024,3493786.952,141.924,Clog,A,6,,,,,,,,
11,661880.604,3493778.283,141.621,Clog,A,6,,,,,,,,
12,661894.79,3493601.242,130.404,Leak,A,6,,,,,,,,
13,661895.929,3493588.945,130.08,Leak,A,6,,,,,,,,
14,661891.153,3493591.938,129.957,Leak,A,7,,,,,,,,
15,661888.399,3493626.589,130.91,Leak,A,7,,,,,,,,
16,661885.965,3493655.674,132.868,Leak,A,7,,,,,,,,
17,661879.007,3493742.316,139.542,Clog,A,7,,,,,,,,
18,661877.774,3493758.34,140.569,Clog,A,7,,,,,,,,
19,661877.572,3493761.98,140.79,Clog,A,7,,,,,,,,
20,661875.852,3493782.693,141.618,Clog,A,7,,,,,,,,
21,661874.047,3493805.808,142.01,Clog,A,7,,,,,,,,
22,661868.2,3493764.847,140.602,Clog,A,9,,,,,,,,
23,661876.125,3493668.525,134.302,Clog,A,9,,,,,,,,
24,661871.359,3493614.335,130.27,Leak,A,11,,,,,,,,
25,661869.481,3493637.259,131.923,Leak,A,11,,,,,,,,
26,661846.797,3493809.256,140.382,Clog,A,13,,,,,,,,
27,661848.441,3493790.251,140.492,Clog,A,13,,,,,,,,
28,661852.073,3493742.749,138.833,Clog,A,13,,,,,,,,
29,661854.495,3493712.843,137.376,Clog,A,13,,,,,,,,
30,661859.723,3493648.798,133.033,Leak,A,13,,,,,,,,
31,661866.002,3493570.108,127.704,Leak,A,13,,,,,,,,
32,661858.662,3493549.363,127.04,Leak,A,15,,,,,,,,
33,661852.182,3493627.293,131.79,Leak,A,15,,,,,,,,
34,661847.007,3493692.835,136.22,Clog,A,15,,,,,,,,
35,661846.034,3493704.141,136.718,Clog,A,15,,,,,,,,
36,661840.556,3493774.968,139.588,Clog,A,15,,,,,,,,
37,661839.173,3493790.405,139.87,Clog,A,15,,,,,,,,
38,661826.977,3493828.072,138.076,Clog,A,17,,,,,,,,
39,661831.489,3493773.669,139.041,Clog,A,17,,,,,,,,
40,661833.932,3493741.195,138.036,Clog,A,17,,,,,,,,
41,661835.956,3493717.004,137.015,Leak,A,17,,,,,,,,
42,661838.111,3493690.641,136.009,Clog,A,17,,,,,,,,
43,661844.124,3493615.495,131.161,Leak,A,17,,,,,,,,
44,661849.126,3493552.832,127.127,Leak,A,17,,,,,,,,
45,661840.527,3493545.823,126.943,Leak,A,19,,,,,,,,
46,661835.201,3493614.194,131.254,Leak,A,19,,,,,,,,
47,661824.087,3493752.998,137.963,Clog,A,19,,,,,,,,
48,661823.458,3493758.931,138.145,Clog,A,19,,,,,,,,
49,661819.754,3493804.156,138.414,Clog,A,19,,,,,,,,
50,661819.277,3493810.301,138.254,Leak,A,19,,,,,,,,
51,661809.722,3493819.725,136.991,Clog,A,21,,,,,,,,
52,661810.821,3493808.049,137.497,Clog,A,21,,,,,,,,
53,661813.74,3493770.68,137.836,Clog,A,21,,,,,,,,
54,661814.254,3493764.652,137.7,Clog,A,21,,,,,,,,
55,661815.742,3493742.201,136.972,Clog,A,21,,,,,,,,
56,661817.262,3493725.554,136.425,Clog,A,21,,,,,,,,
57,661822.219,3493662.514,134.33,Clog,A,21,,,,,,,,
58,661828.117,3493590.77,129.823,Leak,A,21,,,,,,,,
59,661831.768,3493546.195,127.011,Leak,A,21,,,,,,,,
60,661822.549,3493550.051,127.171,Leak,A,23,,,,,,,,
61,661819.705,3493581.785,129.219,Leak,A,23,,,,,,,,
62,661813.863,3493654.657,133.731,Clog,A,23,,,,,,,,
63,661813.163,3493662.249,134.152,Clog,A,23,,,,,,,,
64,661812.321,3493675.103,134.702,Clog,A,23,,,,,,,,
65,661809.089,3493713.44,135.67,Clog,A,23,,,,,,,,
66,661808.042,3493723.998,135.934,Clog,A,23,,,,,,,,
67,661807.425,3493731.752,136.152,Clog,A,23,,,,,,,,
68,661805.922,3493750.265,136.717,Clog,A,23,,,,,,,,
69,661793.641,3493795.713,136.408,Leak,A,25,,,,,,,,
70,661794.881,3493779.49,136.638,Leak,A,25,,,,,,,,
71,661797.599,3493742.878,135.973,Clog,A,25,,,,,,,,
72,661799.792,3493716.523,135.25,Clog,A,25,,,,,,,,
73,661802.715,3493679.907,134.478,Clog,A,25,,,,,,,,
74,661803.413,3493671.312,134.165,Clog,A,25,,,,,,,,
75,661795.895,3493650.215,133.048,Clog,A,27,,,,,,,,
76,661795.156,3493662.565,133.475,Clog,A,27,,,,,,,,
77,661784.917,3493788.07,135.929,Leak,A,27,,,,,,,,
78,661783.031,3493812.535,135.438,Clog,A,27,,,,,,,,
79,661784.087,3493686.786,133.498,Clog,A,29,,,,,,,,
80,661788.715,3493629.203,131.719,Clog,A,29,,,,,,,,
81,661790.338,3493613.517,130.683,Clog,A,29,,,,,,,,
82,661791.343,3493597.111,129.792,Clog,A,29,,,,,,,,
83,661779.061,3493635.998,131.616,Clog,A,31,,,,,,,,
84,661768.176,3493773.601,134.937,Leak,A,31,,,,,,,,
85,661767.039,3493788.28,134.732,Leak,A,31,,,,,,,,
86,661764.639,3493817.854,135.253,Clog,A,33,,,,,,,,
87,661755.54,3493819.859,135.185,Clog,A,33,,,,,,,,
88,661756.551,3493805.269,134.336,Clog,A,33,,,,,,,,
89,661769.108,3493645.586,131.545,Clog,A,33,,,,,,,,
90,661770.578,3493631.607,130.87,Clog,A,33,,,,,,,,
91,661771.864,3493615.193,130.062,Clog,A,33,,,,,,,,
92,661773.597,3493594.346,128.81,Clog,A,33,,,,,,,,
93,661774.036,3493590.428,128.556,Clog,A,35,,,,,,,,
94,661766.774,3493569.44,127.054,Clog,A,35,,,,,,,,
